canonical_builder	product_name	dirt_role	catalog_record_state	notes	source_refs
Tym Guitars	Cerberus Overdrive	OVERDRIVE	ENUMERATED	Late-1990s Cerberus series entry.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Civil War Big Mud	FUZZ	ENUMERATED	Civil War-style Big Mud family state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Club 76 distortion LE	DISTORTION	ENUMERATED	Limited edition distortion tied to Ed Kuepper/early Saints history; deeper edition research deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Creation Fuzz	FUZZ	ENUMERATED	Fuzz product in indexed Tym catalog.	https://www.effectsdatabase.com/model/tym
Tym Guitars	D-Stort	DISTORTION	ENUMERATED	Standalone distortion entry.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Dead Meadow - Signature Fuzz	FUZZ	ENUMERATED	Signature fuzz state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Dead Meadow Fuzz	FUZZ	ENUMERATED	Non-signature/standard catalog state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Distorteder	DISTORTION	ENUMERATED	Builder describes this as a Tymexar-derived 1970s-style distortion; deeper generation work deferred.	https://www.effectsdatabase.com/model/tym/distorteder
Tym Guitars	Distortion	DISTORTION	ENUMERATED	General catalog distortion entry.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Double Boost	BOOST	SCOPE_BOUNDARY	Boost-only product retained for builder completeness.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Double D	DISTORTION	ENUMERATED	Dirt product retained in catalog inventory.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Engine of Ruin - Dylan Carlson Signature Distortion	DISTORTION	ENUMERATED	Signature distortion state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Fern St. Fuzz LE	FUZZ	ENUMERATED	Limited-edition fuzz state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Foxey Lady	FUZZ	ENUMERATED	Vintage-family fuzz product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Fuzz	FUZZ	ENUMERATED	Early/main Tym Fuzz entry; builder's 2013 history places this in the third-generation marketed line begun around 2002.	https://www.effectsdatabase.com/model/tym/fuzz ; https://tymguitars.com.au/blogs/blog/8370661-tym-fuzz-distort-and-overdrive
Tym Guitars	Fuzz Munchkin - J. Mascis' Ram's Head Muff clone	FUZZ	ENUMERATED	J Mascis signature fuzz based on a Ram's Head Muff lineage; individual versions deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Fuzz-Wah	FUZZ_HYBRID	ENUMERATED	Combined fuzz/wah product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Fuzzerator	FUZZ	ENUMERATED	2017-indexed fuzz; builder describes it as a more aggressive Big Mud family state.	https://www.effectsdatabase.com/model/tym/fuzzerator
Tym Guitars	Fuzzilla	FUZZ	ENUMERATED	FY-2/Companion homage; builder-authored description documents this family distinctly.	https://www.effectsdatabase.com/model/tym/fuzzilla
Tym Guitars	Fuzzilla 666	FUZZ	ENUMERATED	Fuzzilla-family variant.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Fuzzmaster	FUZZ	ENUMERATED	Fuzz product in indexed catalog.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Lemon Sournote Overdrive	OVERDRIVE	ENUMERATED	Overdrive product in indexed catalog.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Boost	BOOST	SCOPE_BOUNDARY	Boost-only product retained for builder completeness.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Buzzrite	FUZZ	ENUMERATED	Compact Buzzrite-family product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Mud (Op-Amp version)	FUZZ	ENUMERATED	Big Mud-family op-amp state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Mud (Transistor version)	FUZZ	ENUMERATED	Big Mud-family transistor state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Mudd (Op-Amp version)	FUZZ	ENUMERATED	Mudd-family op-amp state; retain spelling separately for identification until reconciliation.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Overdrive Preamp/666	OVERDRIVE	ENUMERATED	DOD 250 lineage product; builder describes the full Overdrive Preamp/666 as based on an original DOD 250.	https://www.effectsdatabase.com/model/tym/odp666
Tym Guitars	Mini Overdrive Preamp/666 (Grey Version)	OVERDRIVE	ENUMERATED	Grey enclosure variant recorded separately in Effects Database; variant archaeology deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini TMKF Distortion - This Machine Kills Fascists	DISTORTION	ENUMERATED	Charity product, MXR Distortion+ lineage according to builder description.	https://www.effectsdatabase.com/model/tym/thismachine
Tym Guitars	Mini TMKF Fuzz - This Machine Kills Fascists	FUZZ	ENUMERATED	Charity product, Mosrite Fuzzrite lineage according to builder description.	https://www.effectsdatabase.com/model/tym/tmkf/fuzz
Tym Guitars	Mini Tymexar (Germanium version)	DISTORTION	ENUMERATED	Tymexar family germanium state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mini Tymexar (Silicon version)	DISTORTION	ENUMERATED	Tymexar family silicon state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Mud Fuzz	FUZZ	ENUMERATED	Builder describes as op-amp-based fuzz; retained as a core dirt catalog member.	https://www.effectsdatabase.com/model/tym/mudfuzz
Tym Guitars	Murderess Scientists Signature Fuzz	FUZZ	ENUMERATED	Signature fuzz state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Op Amp Big Mud	FUZZ	ENUMERATED	Big Mud op-amp family state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Overdrive	OVERDRIVE	ENUMERATED	General catalog overdrive entry; early Tym history also includes an earlier Cerberus overdrive.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Overdrive Preamp/666	OVERDRIVE	ENUMERATED	DOD 250 lineage product; builder says based on an original DOD 250 with modern appointments.	https://www.effectsdatabase.com/model/tym/odp666
Tym Guitars	Overdriverer	OVERDRIVE	ENUMERATED	General catalog overdrive entry.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Red Mud	FUZZ	ENUMERATED	Big Mud family dirt product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Red Mudd	FUZZ	ENUMERATED	Big Mudd family dirt product; preserve spelling as indexed.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Return Of The Human Fly	FUZZ	ENUMERATED	Vintage-family fuzz product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Reverse Big Mud	FUZZ	ENUMERATED	Big Mud family reverse-logo state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Savage Toecutter	DISTORTION	ENUMERATED	Distortion product in indexed catalog.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Savage Toecutter Deluxe	DISTORTION	ENUMERATED	Deluxe state of Savage Toecutter.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Seaweed Fuzz - Isaiah Mitchell Signature Fuzz	FUZZ	ENUMERATED	Signature fuzz state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Stranded distortion	DISTORTION	ENUMERATED	Limited 40-unit edition released for the 40th anniversary of The Saints' (I'm) Stranded recording; documented as a reproduction of Ed Kuepper's original 1973/74 MXR Distortion+.	https://www.effectsdatabase.com/model/tym/strandeddistortion
Tym Guitars	Super Fuzz Big Mudd	FUZZ	ENUMERATED	Super Fuzz / Big Mud family crossover.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Tatanka	FUZZ	ENUMERATED	Brett Netson signature fuzz; named by builder as one of the pedals he is most proud of.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Teenage Fanboost	BOOST	SCOPE_BOUNDARY	Boost product retained for builder completeness.	https://www.effectsdatabase.com/model/tym
Tym Guitars	The Axeman's Fuzz	FUZZ	ENUMERATED	Fuzz product in indexed catalog.	https://www.effectsdatabase.com/model/tym
Tym Guitars	The Real Gain Supernova - No Anchor signature pedal	OVERDRIVE	ENUMERATED	Signature gain/overdrive state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	This Machine Kills Fascists	DISTORTION_OR_FUZZ	ENUMERATED	Two versions were documented, distortion and fuzz, sold for charity; treat parent name as shared project identity and version-specific products separately.	https://www.effectsdatabase.com/model/tym/thismachine
Tym Guitars	Toe Cutter	DISTORTION_OR_OVERDRIVE	ENUMERATED	Dirt product in indexed catalog; deeper category verification deferred.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Tone Boost	BOOST	SCOPE_BOUNDARY	Boost product retained for builder catalog completeness; builder named it among his proudest designs.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Tripletone	DISTORTION	ENUMERATED	MXR Distortion+ family-related product in Effects Database context.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Tym Bender	FUZZ	ENUMERATED	Tone Bender-family dirt product.	https://www.effectsdatabase.com/model/tym
Tym Guitars	TYMEXAR Distortionator X	DISTORTION	ENUMERATED	Tymexar-family distortion state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	TYMEXAR St. Paul Distortion	DISTORTION	ENUMERATED	Tymexar-family distortion state.	https://www.effectsdatabase.com/model/tym
Tym Guitars	Wosrite BUZZrite	FUZZ	ENUMERATED	Buzzrite-family fuzz product.	https://www.effectsdatabase.com/model/tym
