Builder,Pedal,Type
JPTR FX,WARLOW mini,Fuzz
JPTR FX,DELUXE Jive - Reel Saturator Overdrive,Overdrive
JPTR FX,Warlow - Fuzz monstrosity,Fuzz
JPTR FX,Silvermachine - Dual-gain-stage Fuzz Pedal,Fuzz
JPTR FX,Katastrophe - Sludgefest Dominator Distortion Pre Amp,Distortion
JPTR FX,Bleach - Seattle Guitar Destroyer,Distortion
JPTR FX,Super Weirdo - Fuzz Modulator Pedal,Fuzz
JPTR FX,Super Weirdo - Fuzz Modulator Pedal 10YRS EDT,Fuzz
JPTR FX,MISPRINT KATASTROPHE,Distortion
Black Mass Electronics,1312 Distortion V3,Distortion
Black Mass Electronics,The First Herald (Big Box),Fuzz
Black Mass Electronics,Ceremonial Show of Force,Fuzz
Black Mass Electronics,Kill Chain,Fuzz
Black Mass Electronics,Dual 1312 Distortion,Distortion
Hungry Robot,FZ,Fuzz
Hungry Robot,The Collective,Fuzz
Hungry Robot,The Lumen,Overdrive
A Sound Of Failure,Death Driver,Overdrive
A&M Custom Effects,Crash Central - Crunch Distortion,Distortion
A&M Custom Effects,Crazyboy - Double Fuzz,Fuzz
A&M Custom Effects,Metal Maniac - Mega Distortion,Distortion
A&M Custom Effects,Twin Pro - Overdrive,Overdrive
A.Y.A,Bass Fuzz,Fuzz
A.Y.A,BM-Fuzz 70,Fuzz
A.Y.A,BM-Fuzz 80,Fuzz
A.Y.A,Drivesta,Overdrive
A.Y.A,Frontgate Bass Drive,Overdrive
A/DA,APP-1 Pedal Preamp with D-Torsion Core,Overdrive
A/DA,Final Phase,Distortion
A/DA,Final Phase,Overdrive
A/DA,MP-1 Channel,Overdrive
Abasi Concepts,Pathos Distortion,Distortion
AbbyTone,Screwed Driver,Overdrive
ABL Pedals,The Szczur,Overdrive
ABL Pedals,The Toor,Fuzz
Abominable Electronics,Cat Dirt Mini - Killer Acid Artwork,Overdrive
Abominable Electronics,Hail Satan,Distortion
Abominable Electronics,Hail Satan,Fuzz
Abominable Electronics,Hail Satan Deluxe,Distortion
Abominable Electronics,Hail Satan Deluxe,Fuzz
Abominable Electronics,Hellmouth,Overdrive
Abominable Electronics,Oppressive Cult Destroyer,Distortion
Abominable Electronics,Oppressive Cult Destroyer,Overdrive
Abominable Electronics,Throne Torcher,Distortion
Abominable Electronics,Toke Machine,Fuzz
Abominable Electronics,Yeti Fuzz,Fuzz
Abominable Electronics,Demon Lung,Fuzz
AboveGroundFX,El Griton Overdrive,Overdrive
AboveGroundFX,Rocks Hard,Distortion
Absolutely Analog,Ratzo,Distortion
AC Efectos,Green 808 Overdrive,Overdrive
AC Efectos,Triplex Distortion,Distortion
AC Noises,Vola,Overdrive
AC Noises,Combatti,Distortion
AC Noises,Esplora,Fuzz
AC Noises,Arpiona,Fuzz
AC Noises,Urla,Fuzz
Acorn Amps,Epstein Isn't Dead Op-Amp Boost/Distortion,Distortion
Acorn Amps,Epstein Didn't Kill Himself Fuzz,Fuzz
Acorn Amps,Vegeta Drive,Overdrive
Acorn Amps,Kakarot Fuzz,Fuzz
Acorn Amps,Mind Killer Dual Distortion,Distortion
Acorn Amps,TMA-1 Fuzz,Fuzz
Acorn Amps,Solid State Amp/Preamp,Distortion
Acid Age Electronics,Acid Pig - LM308 Distortion Unit,Distortion
Acid Fuzz,Acid Fuzzer MkI,Fuzz
Acid Fuzz,Italian Fuzz,Fuzz
Acid Fuzz,Mk1.5,Fuzz
Acid Fuzz,NKT275 Acid Fuzz Face,Fuzz
Acid Fuzz,Professional MkII,Fuzz
Acid Fuzz,Selmer Buzz Tone,Fuzz
Acid Fuzz,Sonic Boom,Fuzz
Acid Fuzz,The Zoink Machine,Fuzz
Acid Fuzz,Zonk Machine - Vintage Series Re-build,Fuzz
Accel Audio,OD-SS Express Overdrive,Overdrive
Accel Audio,Vintage Scream'in Overdrive,Overdrive
Accel Audio,Stompzilla Fuzz,Fuzz
Acoustic Imaginearing,QuantumDrive,Overdrive
Acoustic Imaginearing,QuantumDrive,Distortion
AD Pedals,Aerodynamic overdrive,Overdrive
Add+ Pedals,Blues Player,Overdrive
Add+ Pedals,Great White,Overdrive
Add+ Pedals,Great White 2,Overdrive
Add+ Pedals,Super Drive,Overdrive
Add+ Pedals,Super Drive 2,Overdrive
Add+ Pedals,Tiger Shark,Overdrive
Add+ Pedals,Tube Drive,Overdrive
Add+ Pedals,Tube Drive 2,Overdrive
Add+ Pedals,Tube Drive Silver Edition,Overdrive
Add+ Pedals,Distortion,Distortion
Add+ Pedals,Ratortion,Distortion
Add+ Pedals,Ratortion 2,Distortion
Add+ Pedals,Ratortion 3,Distortion
Add+ Pedals,Ratortion 3 v2,Distortion
Add+ Pedals,Shredder,Distortion
Add+ Pedals,Der Fuzzer,Fuzz
Add+ Pedals,Fuzz Face,Fuzz
Add+ Pedals,Fuzz Machine,Fuzz
Add+ Pedals,Pi,Fuzz
Addrock Musical Products,Boostmaster,Overdrive
Addrock Musical Products,Not So Ol' Yeller,Overdrive
Addrock Musical Products,Ol' Yeller,Overdrive
Addrock Musical Products,Geranium Fuzz,Fuzz
Addrock Musical Products,Hism Scism,Fuzz
ADV Systems,#overdrive,Overdrive
ADV Systems,#distortion,Distortion
Advance Tube Technology,Boost Cat Drive,Overdrive
Advance Tube Technology,Over Cat Drive,Overdrive
Advance Tube Technology,Virus Drive,Distortion
Adventure Audio,Glacial Zenith - Overdrive,Overdrive
Adventure Audio,Demogorgon Fuzz,Fuzz
Adventure Audio,Dream Reaper,Fuzz
Adventure Audio,Fuzz Peaks,Fuzz
Adventure Audio,Fuzz Peaks II,Fuzz
Adventure Audio,Thaw,Fuzz
AED,Blue Bee,Overdrive
Aether Electronic,Lenore,Fuzz
Aether Electronic,Lenore,Overdrive
AGR Pedals,OD85 - Full Range Overdrive,Overdrive
AGR Pedals,Cuervo Muerto - Silicon Fuzz Bender,Fuzz
AGR Pedals,FZR912 - Muff Fuzz Deluxe,Fuzz
AGR Pedals,DS2610 - Vintage Distortion,Distortion
Aguilar,Agro - Bass Overdrive,Overdrive
Aguilar,Fuzzistor - Bass Fuzz,Fuzz
Aguilar,Storm King - Micro Bass Distortion/Fuzz,Distortion
Aguilar,Storm King - Micro Bass Distortion/Fuzz,Fuzz
Airis Effects,Solar Flare Overdrive,Overdrive
Airis Effects,The Savage Drive,Overdrive
AJ Peat,Dirty Buzzard - Overdrive, Fuzz & Distortion,Overdrive
AJ Peat,Dirty Buzzard - Overdrive, Fuzz & Distortion,Fuzz
AJ Peat,Dirty Buzzard - Overdrive, Fuzz & Distortion,Distortion
AJ Peat,Fat Peacock - Distortion w/ Boost,Distortion
AJ Peat,Screaming Flamingo - Overdrive/Distortion,Overdrive
AJ Peat,Screaming Flamingo - Overdrive/Distortion,Distortion
AJcustom,Distortion,Distortion
Akai,Blues Overdrive,Overdrive
Akai,Tri-Mode Overdrive,Overdrive
Akai,Tri-Mode Fuzz,Fuzz
Alairex,H.A.L.O. - Harmonic Amp-Like Overdrive,Overdrive
Alairex,H.A.L.O. Jr.,Overdrive
Alber,GA-104 Gain,Overdrive
Alber,GA-1040 Gain,Overdrive
Alber,GA-1040P Gain,Overdrive
Alber,OD-6 Over Drive,Overdrive
Alber,OD-600 Over Drive,Overdrive
Alber,OD-600P Over Drive,Overdrive
Alber,OD-610 Over Drive,Overdrive
Alber,FU-10,Fuzz
Alber,FU-1000,Fuzz
Alber,FU-1000P,Fuzz
Alcove,ALP-200 Overdrive,Overdrive
Alden,Tube Overdrive,Overdrive
Aleatorik,Operation 1,Overdrive
Aleatorik,Operation 2,Overdrive
Aleatorik,Operation 3,Overdrive
Aleks K Production,Honey Moon - Sweet Overdrive,Overdrive
Aleks K Production,Sun Beam - Magic Drive,Overdrive
Alen Geere,Crown Centaur,Overdrive
Alen Geere,LEADer Mk.2,Overdrive
Alen Geere,Loverdrive,Overdrive
Alen Geere,Methoxy Overdrive,Overdrive
Alen Geere,Preface Drive,Overdrive
Alen Geere,Serene,Overdrive
Alen Geere,Tube Fuzz,Fuzz
Alien Amplification,Origami Overdrive,Overdrive
Alien Rabbit,Magic Drive,Overdrive
All-Pedal,Alcmene Overdrive,Overdrive
All-Pedal,Devil's Triad Essentials,Overdrive
All-Pedal,Slamurai Bushido Drive,Overdrive
AMT Electronics,BS British Sound,Distortion
AMT Electronics,CS California Sound,Distortion
AMT Electronics,DM-3 DistMachine,Distortion
AMT Electronics,Rammstein RD Distortion Combo Emulator,Distortion
AMT Electronics,B-1 BG-Sharp,Overdrive
AMT Electronics,M-1 JM-800,Overdrive
AMT Electronics,R-1 Rectifier,Overdrive
AMT Electronics,S-1,Overdrive
AMT Electronics,SS-20,Overdrive
AMT Electronics,SS-11B,Overdrive
Ampeg,Scrambler Bass Overdrive,Overdrive
