builder	model_or_family	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
Bearfoot FX	Arctic White Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed BearFoot fuzz product.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Burgundy Bosshorn Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed BearFoot fuzz product.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Gnarwahl Fuzz +	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed BearFoot fuzz product.	https://www.effectsdatabase.com/model/bearfoot
Bearfoot FX	Uber Bee OD	OVERDRIVE	2014	ENUMERATED	SECONDARY_HISTORICAL	Published February 17, 2014; expanded-range descendant of Honey Bee lineage.	https://www.effectsdatabase.com/model/bearfoot/uberbee
Tom's Line Engineering	AOD-1	OVERDRIVE_DISTORTION	2013	ENUMERATED	SECONDARY_HISTORICAL	Published April 11, 2013 at Musikmesse; analog FET overdrive/distortion.	https://www.effectsdatabase.com/model/tomsline/aod1
Tom's Line Engineering	ADT-1	DISTORTION	2013	ENUMERATED	SECONDARY_HISTORICAL	Published April 11, 2013 at Musikmesse.	https://www.effectsdatabase.com/model/tomsline/adt1
Tom's Line Engineering	AMD-1 Metal	DISTORTION	2013	ENUMERATED	SECONDARY_INDEX	Part of the 2013 Mini-series; preserve from ADT/AOD models as separate marketed product.
https://www.effectsdatabase.com/model/tomsline
Tom's Line Engineering	ABS-1 Blues	OVERDRIVE	2013	ENUMERATED	SECONDARY_INDEX	Part of the 2013 Mini-series.
https://www.effectsdatabase.com/model/tomsline
Tom's Line Engineering	ABR-1 Booster	BOOST_BOUNDARY	2013	BOUNDARY	SECONDARY_INDEX	Gain-stage/boost product retained as scope boundary rather than central OD count.
https://www.effectsdatabase.com/model/tomsline
Hotone Audio	Skyline Fury	FUZZ	2013	ENUMERATED	SECONDARY_HISTORICAL	Published April 10, 2013 at Musikmesse; mini fuzz with push boost; useful early Skyline family anchor.	https://www.effectsdatabase.com/model/hotone/skyline/fury
Hotone Audio	Dirty Boy	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Hotone dirt product.
https://www.effectsdatabase.com/model/hotone
Mid-Fi Electronics	Demo Tape Fuzz	FUZZ	2011	ENUMERATED	SECONDARY_HISTORICAL	Published May 10, 2011; captures cassette-recorder saturation aesthetic; preserve as a distinct fuzz product.	https://www.effectsdatabase.com/model/midfi/demotape
Mid-Fi Electronics	Magick I	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Mid-Fi overdrive product.	https://www.effectsdatabase.com/model/midfi
Mid-Fi Electronics	Overdrive	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Indexed generic-named Mid-Fi overdrive product; do not collapse with Magick I without evidence.
https://www.effectsdatabase.com/model/midfi
Mid-Fi Electronics	Fuzz Wall	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Mid-Fi fuzz product.
https://www.effectsdatabase.com/model/midfi
Mid-Fi Electronics	Peace Gun	DISTORTION_FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Mid-Fi dirt product; exact first-sale date unresolved.
https://www.effectsdatabase.com/model/midfi
