builder	status	image_url	source_page	source_type	note
MASF Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Tanabe.TV	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Weed	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Bananana Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
KATANASOUND	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Iannucci Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Kappa Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Electronic Audio Experiments	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Fairfield Circuitry	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Old Blood Noise Endeavors	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Chase Bliss Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Hologram Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Pladask Elektrisk	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Beetronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Benson Amps / Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Greer Amps	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Wren and Cuff	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Land Devices	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
MAE / Mask Audio Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Mid-Fi Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Industrialectric	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Dwarfcraft Devices	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Black Mass Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Aclam Guitars	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Coda Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Demedash Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Mattoverse Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Dawner Prince Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Empress Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Alexander Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Bondi Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Mythos Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Jackson Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
ThorpyFX	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Rainger FX	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Drolo	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Montreal Assembly	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Prescription Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
T. Jauernig Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Lovepedal	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
SIB Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
FTelettronica	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
BFFX	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Fieldfare Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Non-Human Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Twilight Pulse Audioworks	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Spiral Electric FX	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Klowra	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Sonicake	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Mile End Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Crazy Tube Circuits	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Great Eastern FX Co.	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
VFE Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Teaching Machines	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Tallon Electric	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Spline Laboratories	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
REVV Amplification	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Fender Effects	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Positive Grid	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Breña FX	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Argenziano Effetti	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Cachalote Audio	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Artifact Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Kink Guitar Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Animal Factory Amplification	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Sutton Instruments	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
TONECAT	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Brady Tone Electronics	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
StonegateFx	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Mystic Effects Co	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
Hungry Robot Pedals	UNRESOLVED			Official page + Wikimedia Commons	No sufficiently strong logo/wordmark candidate found in the automated pass.
