canonical_builder	product_name	dirt_role	catalog_record_state	period_or_corridor	confidence	notes	evidence
Singletone Amplification	London Fuzz	FUZZ	ARTIST_RELATED_CATALOG_CANDIDATE	2010s-present	MEDIUM	Official artist page repeatedly references London Fuzz/London in artist rigs; preserve naming exactly until product catalog reconciliation.	https://singletone.com.ar/artistas.html
Vntage Tone	Elite Einheit-13	DISTORTION	CURRENT_VERIFIED	2020s-present	HIGH	Official Vntage Tone site identifies Elite Einheit-13 as high-gain distortion and states its tone machines are designed and manufactured in Mexico.	https://www.vntagetone.com/
Vntage Tone	Bifurcator	OVERDRIVE	CURRENT_VERIFIED	2020s-present	HIGH	Official Vntage Tone site lists Bifurcator as a dual overdrive and states production is in Mexico.	https://www.vntagetone.com/
Vntage Tone	Octagrapher	FUZZ	CURRENT_VERIFIED	2020s-present	HIGH	Official Vntage Tone site lists Octagrapher as fuzz/octave/adrenaline.	https://www.vntagetone.com/
Vntage Tone	the 82	OVERDRIVE	CURRENT_VERIFIED	2020s-present	HIGH	Official Vntage Tone site lists the 82 as a powerful overdrive with clean-to-saturated range.	https://www.vntagetone.com/
Neural Devices	Eager Fuzz	FUZZ	HISTORICAL_ANCHOR	2021-2022	HIGH	Guitar Pedal X documents Eager Fuzz as a 2021 retired Germanium dirt machine and Eager Fuzz V2 in 2022.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	Eager Fuzz V2	FUZZ	HISTORICAL_ANCHOR	2022	HIGH	Guitar Pedal X's timeline explicitly records Eager Fuzz V2 in 2022.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	RippeR Dual Fuzz	FUZZ	HISTORICAL_ANCHOR	2021	HIGH	Guitar Pedal X documents RippeR Dual Fuzz as a retired 2021 product.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	CassiuS Fuzz & Octave Generator	FUZZ	HISTORICAL_ANCHOR	2021	HIGH	Guitar Pedal X documents CassiuS as a retired 2021 fuzz/octave product.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	AlphA High Gain Distortion	DISTORTION	HISTORICAL_ANCHOR	2020	HIGH	Guitar Pedal X records AlphA High Gain Distortion in the 2020 product timeline and marks it retired.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	RefractoR Overdrive	OVERDRIVE	HISTORICAL_ANCHOR	2021	HIGH	Guitar Pedal X records RefractoR Overdrive in 2021 and notes its successor naming as The Gentleman.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	The Gentleman Analog Gain Stage	OVERDRIVE	HISTORICAL_AND_CURRENT_ANCHOR	2021-present	HIGH	Guitar Pedal X records the RefractoR-to-Gentleman rename corridor and describes The Gentleman as a current analog gain-stage product in the 2022 range.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Neural Devices	Ambassador Deluxe Analog Bass Preamp & Drive	BASS_DRIVE	HISTORICAL_ANCHOR	2021-present	HIGH	Guitar Pedal X records Ambassador Deluxe V3 as an analog bass preamp/drive product. Retain as bass dirt boundary plus gain product.	https://www.guitarpedalx.com/news/a-full-range-overview-of-mexicos-most-rapidly-rising-neural-devices-pedal-brand
Carbono 14	Carbono 14 catalog	FUZZ_DISTORTION	DISCOVERY_BUILDER_CATALOG_PENDING	2020s	MEDIUM	Effects Database forum record identifies Peter/C14 as a Mexican builder focused on fuzz and distortion and using carbon-fiber enclosures. Product-by-product enumeration remains pending.	https://forum.effectsdatabase.com/viewtopic.php?f=7&start=20&t=551
