record_id	brand	model_name	variant_or_state	production_period	kind	differences	status	source_url	notes
REC-301	T-Pedals	Watt-Drive	Early documented retail state	January 2010	Model / chronology	Effects Database weekly records list T-Pedals Watt-Drive among the pedals added in the week of January 11, 2010; T-Pedals describes it as a hand-built Italian overdrive plus boost design.	VERIFIED	https://www.effectsdatabase.com/updates/weekly/20100111	Weekly index date is a documentary anchor rather than an exact first-sale day.
REC-302	D*A.M	Drag’n’Fly	Early documented hybrid fuzz state	2005-2008	Model / chronology	Effects Database published the Drag’n’Fly on September 30, 2005 and describes it as a hybrid fuzz combining germanium and silicon characteristics, giving a strong early D*A.M. object anchor.	VERIFIED	https://www.effectsdatabase.com/model/dam/dragnfly	Keep distinct from later D*A.M. hybrid or fuzz-family models; publication date is a documentary anchor.
REC-303	D*A.M	Fleshhead	Documented production state	2010	Model / chronology	Effects Database published the Fleshhead on January 22, 2010; period videos from February and March 2010 confirm the model was circulating in the same production window.	VERIFIED	https://www.effectsdatabase.com/model/dam/fleshhead	Use the model name and enclosure/graphics as specimen clues; do not infer a more precise first-sale date.
REC-304	D*A.M	Head Buzz	Hoochies custom two-state run	2009	Limited / specimen	Effects Database documents a Tokyo Hoochies custom order with two Head Buzz variants, one germanium Fuzz Face-inspired and one silicon Fuzz Face-inspired, ten pedals total, five of each kind.	VERIFIED	https://www.effectsdatabase.com/model/dam/headbuzz	Excellent limited-run specimen record; preserve the two transistor-family states as separate variants.
REC-305	Catalinbread	Super Chili Picoso	Founding commercial state	June 2003 onward	Lineage / chronology	Catalinbread states that the Super Chili Picoso was its first Catalinbread-branded pedal, made for ToneFactor after a June 2003 request; later historical records document the model as a defining early boost.	VERIFIED	https://catalinbread.com/pages/about	Founding-object anchor for Catalinbread; boost can be dirt-adjacent without entering the main OD/fuzz count automatically.
REC-306	Catalinbread	Super Chili Picoso	2003-2008 early production family	2003-2008	Generation / chronology	Effects Database indexes an early Catalinbread Super Chili Picoso family to 2003-2008, preceding later Legacy Series presentations and related reissues.	VERIFIED	https://www.effectsdatabase.com/model/catalinbread/picoso/chili/super	Preserve the original-era family separately from later Legacy Series or reissue products.
REC-307	Catalinbread	Hyper Pak Dirty Channel	V1 one-knob state	2007	Generation / chronology	Effects Database published the Hyper Pak Dirty Channel on August 2, 2007 and explicitly lists a V1 one-knob state and a later V2 two-knob state.	VERIFIED	https://www.effectsdatabase.com/model/catalinbread/hyperpak	Strong physical identification split: one control versus two controls.
REC-308	Catalinbread	Hyper Pak Dirty Channel	V2 two-knob state	2007-2008	Generation / chronology	The Effects Database record explicitly distinguishes a V2 two-knob Hyper Pak Dirty Channel from the earlier V1 one-knob state, providing a direct generation boundary.	VERIFIED	https://www.effectsdatabase.com/model/catalinbread/hyperpak	Use control count as the primary specimen clue; exact switch date remains unresolved.
REC-309	Catalinbread	SFT	First production state	2009	Model / chronology	Effects Database published the SFT on June 19, 2009, and Catalinbread describes it as a bass-oriented foundation overdrive that also became a major guitar dirt model; the company timeline places SFT in the 2008-present expansion wave.	VERIFIED	https://www.effectsdatabase.com/model/catalinbread/sft	Keep the original 2009 state separate from later 2016 artwork/collection editions.
REC-310	Catalinbread	Formula N°5	Original pre-redesign family	2010-2017	Generation / chronology	Effects Database published Formula N°5 on February 14, 2010 and documents later new-look and reissue states; a later designer note explains that parts availability eventually prompted a from-scratch redesign that became Formula No. 55.	VERIFIED	https://www.effectsdatabase.com/model/catalinbread/formula5	Critical family boundary: original Formula N°5 should not be collapsed with the later Formula No. 55 redesign.
REC-311	Catalinbread	Dirty Little Secret	V1 / early production state	2008-2010	Generation / chronology	The Dirty Little Secret was announced in the early Catalinbread expansion period and its record explicitly distinguishes a V1 prototype/early state, later MkII, and other edition labels; Catalinbread dates its broader release to the 2008-2009 period.	VERIFIED	https://www.effectsdatabase.com/model/catalinbread/dirtylittlesecret	Preserve V1 prototype/early production, MkII, and later special editions as separate states.
