Builder,Pedal,Catalog Type,Pedal Info,Picture,PRP Complete,Research Record
Acid Fuzz,Zonk Machine - Vintage Series Re-build,Fuzz,DONE,DONE,DONE,./research/pedals/Acid Fuzz/Zonk Machine - Vintage Series Re-build.md
Aclam Guitars,Cinnamon Drive,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Aclam Guitars/Cinnamon Drive.md
Aclam Guitars,Cinnamon Drive - Dreamer Edition,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Aclam Guitars/Cinnamon Drive - Dreamer Edition.md
Aclam Guitars,Dr. Robert,Distortion,DONE,DONE,DONE,./research/pedals/Aclam Guitars/Dr. Robert.md
Aclam Guitars,Go Rocky Go,Distortion / Fuzz / Overdrive,DONE,DONE,DONE,./research/pedals/Aclam Guitars/Go Rocky Go.md
Aclam Guitars,Go Rocky Go - White Album Edition,Distortion / Fuzz / Overdrive,DONE,DONE,DONE,./research/pedals/Aclam Guitars/Go Rocky Go - White Album Edition.md
Aclam Guitars,The Mocker,Fuzz,DONE,DONE,DONE,./research/pedals/Aclam Guitars/The Mocker.md
Aclam Guitars,The Windmiller Preamp,Overdrive,DONE,DONE,DONE,./research/pedals/Aclam Guitars/The Windmiller Preamp.md
Aclam Guitars,The Woman Tone,Overdrive,DONE,DONE,DONE,./research/pedals/Aclam Guitars/The Woman Tone.md
Acorn Amps,Epstein Didn't Kill Himself Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Acorn Amps/Epstein Didn't Kill Himself Fuzz.md
Acorn Amps,Epstein Isn't Dead Op-Amp Boost/Distortion,Distortion,DONE,DONE,DONE,./research/pedals/Acorn Amps/Epstein Isn't Dead Op-Amp Boost-Distortion.md
Acorn Amps,Kakarot Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Acorn Amps/Kakarot Fuzz.md
Acorn Amps,Mind Killer Dual Distortion,Distortion,DONE,DONE,DONE,./research/pedals/Acorn Amps/Mind Killer Dual Distortion.md
Acorn Amps,Solid State Amp/Preamp,Distortion,DONE,DONE,DONE,./research/pedals/Acorn Amps/Solid State Amp-Preamp.md
Acorn Amps,TMA-1 Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Acorn Amps/TMA-1 Fuzz.md
Acorn Amps,Vegeta Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Acorn Amps/Vegeta Drive.md
Acoustic Imaginearing,QuantumDrive,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Acoustic Imaginearing/QuantumDrive.md
AD Pedals,Aerodynamic overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/AD Pedals/Aerodynamic overdrive.md
ADA Amps,MP-1 Channel,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/ADA Amps/MP-1 Channel.md
Add+ Pedals,Blues Player,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Blues Player.md
Add+ Pedals,Der Fuzzer,Fuzz,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Der Fuzzer.md
Add+ Pedals,Distortion,Distortion,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Distortion.md
Add+ Pedals,Fuzz Face,Fuzz,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Fuzz Face.md
Add+ Pedals,Fuzz Machine,Fuzz,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Fuzz Machine.md
Add+ Pedals,Great White,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Great White.md
Add+ Pedals,Great White 2,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Great White 2.md
Add+ Pedals,Pi,Fuzz,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Pi.md
Add+ Pedals,Ratortion,Distortion,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Ratortion.md
Add+ Pedals,Ratortion 2,Distortion,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Ratortion 2.md
Add+ Pedals,Ratortion 3,Distortion,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Ratortion 3.md
Add+ Pedals,Ratortion 3 v2,Distortion,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Ratortion 3 v2.md
Add+ Pedals,Shredder,Distortion,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Shredder.md
Add+ Pedals,Super Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Super Drive.md
Add+ Pedals,Super Drive 2,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Super Drive 2.md
Add+ Pedals,Tiger Shark,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Tiger Shark.md
Add+ Pedals,Tube Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Tube Drive.md
Add+ Pedals,Tube Drive 2,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Tube Drive 2.md
Add+ Pedals,Tube Drive Silver Edition,Overdrive,DONE,DONE,DONE,./research/pedals/Add+ Pedals/Tube Drive Silver Edition.md
Addrock Musical Products,Boostmaster,Overdrive,DONE,DONE,DONE,./research/pedals/Addrock Musical Products/Boostmaster.md
Addrock Musical Products,Geranium Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Addrock Musical Products/Geranium Fuzz.md
Addrock Musical Products,Hism Scism,Fuzz,DONE,DONE,DONE,./research/pedals/Addrock Musical Products/Hism Scism.md
Addrock Musical Products,Not So Ol' Yeller,Overdrive,DONE,DONE,DONE,./research/pedals/Addrock Musical Products/Not So Ol' Yeller.md
Addrock Musical Products,Ol' Yeller,Overdrive,DONE,DONE,DONE,./research/pedals/Addrock Musical Products/Ol' Yeller.md
ADV Systems,#distortion,Distortion,DONE,DONE,DONE,./research/pedals/ADV Systems/#distortion.md
ADV Systems,#overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/ADV Systems/#overdrive.md
Advance Tube Technology,Boost Cat Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Advance Tube Technology/Boost Cat Drive.md
Advance Tube Technology,Over Cat Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Advance Tube Technology/Over Cat Drive.md
Advance Tube Technology,Virus Drive,Distortion,DONE,DONE,DONE,./research/pedals/Advance Tube Technology/Virus Drive.md
Adventure Audio,Demogorgon Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Adventure Audio/Demogorgon Fuzz.md
Adventure Audio,Dream Reaper,Fuzz,DONE,DONE,DONE,./research/pedals/Adventure Audio/Dream Reaper.md
Adventure Audio,Fuzz Peaks,Fuzz,DONE,DONE,DONE,./research/pedals/Adventure Audio/Fuzz Peaks.md
Adventure Audio,Fuzz Peaks II,Fuzz,DONE,DONE,DONE,./research/pedals/Adventure Audio/Fuzz Peaks II.md
Adventure Audio,Glacial Zenith - Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Adventure Audio/Glacial Zenith - Overdrive.md
Adventure Audio,Thaw,Fuzz,DONE,DONE,DONE,./research/pedals/Adventure Audio/Thaw.md
AED,Blue Bee,Overdrive,DONE,DONE,DONE,./research/pedals/AED/Blue Bee.md
Aether Electronic,Lenore,Fuzz / Overdrive,DONE,DONE,DONE,./research/pedals/Aether Electronic/Lenore.md
AGR Pedals,Cuervo Muerto - Silicon Fuzz Bender,Fuzz,DONE,DONE,DONE,./research/pedals/AGR Pedals/Cuervo Muerto - Silicon Fuzz Bender.md
AGR Pedals,DS2610 - Vintage Distortion,Distortion,DONE,DONE,DONE,./research/pedals/AGR Pedals/DS2610 - Vintage Distortion.md
AGR Pedals,FZR912 - Muff Fuzz Deluxe,Fuzz,DONE,DONE,DONE,./research/pedals/AGR Pedals/FZR912 - Muff Fuzz Deluxe.md
AGR Pedals,OD85 - Full Range Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/AGR Pedals/OD85 - Full Range Overdrive.md
Aguilar,Agro - Bass Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Aguilar/Agro - Bass Overdrive.md
Aguilar,Fuzzistor - Bass Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Aguilar/Fuzzistor - Bass Fuzz.md
Aguilar,Storm King - Micro Bass Distortion/Fuzz,Distortion / Fuzz,DONE,DONE,DONE,./research/pedals/Aguilar/Storm King - Micro Bass Distortion/Fuzz.md
Airis Effects,Solar Flare Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Airis Effects/Solar Flare Overdrive.md
Airis Effects,The Savage Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Airis Effects/The Savage Drive.md
AJ Peat,Dirty Buzzard - Overdrive,Fuzz & Distortion,DONE,DONE,DONE,./research/pedals/AJ Peat/Dirty Buzzard - Overdrive.md
AJ Peat,Fat Peacock - Distortion w/ Boost,Distortion,DONE,DONE,DONE,./research/pedals/AJ Peat/Fat Peacock - Distortion w Boost.md
AJ Peat,Screaming Flamingo - Overdrive/Distortion,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/AJ Peat/Screaming Flamingo - Overdrive-Distortion.md
AJcustom,Distortion,Distortion,DONE,DONE,DONE,./research/pedals/AJcustom/Distortion.md
Akai,Blues Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Akai/Blues Overdrive.md
Akai,Tri-Mode Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Akai/Tri-Mode Fuzz.md
Akai,Tri-Mode Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Akai/Tri-Mode Overdrive.md
Alairex,H.A.L.O. - Harmonic Amp-Like Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Alairex/H.A.L.O. - Harmonic Amp-Like Overdrive.md
Alairex,H.A.L.O. Jr.,Overdrive,DONE,DONE,DONE,./research/pedals/Alairex/H.A.L.O. Jr..md
Alameda Guitars,Fuzzoo,Fuzz,DONE,DONE,DONE,./research/pedals/Alameda Guitars/Fuzzoo.md
Alber,FU-10,Fuzz,DONE,DONE,DONE,./research/pedals/Alber/FU-10.md
Alber,FU-1000,Fuzz,DONE,DONE,DONE,./research/pedals/Alber/FU-1000.md
Alber,FU-1000P,Fuzz,DONE,DONE,DONE,./research/pedals/Alber/FU-1000P.md
Alber,GA-104 Gain,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/GA-104 Gain.md
Alber,GA-1040 Gain,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/GA-1040 Gain.md
Alber,GA-1040P Gain,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/GA-1040P Gain.md
Alber,OD-6 Over Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/OD-6 Over Drive.md
Alber,OD-600 Over Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/OD-600 Over Drive.md
Alber,OD-600P Over Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/OD-600P Over Drive.md
Alber,OD-610 Over Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Alber/OD-610 Over Drive.md
Alcove,ALP-200 Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Alcove/ALP-200 Overdrive.md
Alden,Tube Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Alden/Tube Overdrive.md
Aleatorik,Operation 1,Overdrive,DONE,DONE,DONE,./research/pedals/Aleatorik/Operation 1.md
Aleatorik,Operation 2,Overdrive,DONE,DONE,DONE,./research/pedals/Aleatorik/Operation 2.md
Aleatorik,Operation 3,Overdrive,DONE,DONE,DONE,./research/pedals/Aleatorik/Operation 3.md
Aleks K Production,Honey Moon - Sweet Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/Aleks K Production/Honey Moon - Sweet Overdrive.md
Aleks K Production,Sun Beam - Magic Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Aleks K Production/Sun Beam - Magic Drive.md
Alen Geere,Crown Centaur,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Crown Centaur.md
Alen Geere,LEADer Mk.2,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/LEADer Mk.2.md
Alen Geere,Loverdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Loverdrive.md
Alen Geere,Methoxy Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Methoxy Overdrive.md
Alen Geere,Preface Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Preface Drive.md
Alen Geere,Serene,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Serene.md
Alen Geere,Tube Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Tube Fuzz.md
Alexander Pedals,Clang Championship Edition,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Clang Championship Edition.md
Alexander Pedals,Hot Pink Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Hot Pink Drive.md
Alexander Pedals,Jubilee Silver Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Jubilee Silver Overdrive.md
Alexander Pedals,Magnolia Vintage Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 046/Magnolia Vintage Overdrive.md
Alexander Pedals,Princess Clang,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Princess Clang.md
Alexander Pedals,Royal Cream,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Royal Cream.md
Alien Amplification,Origami Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Origami Overdrive.md
Alien Rabbit,Magic Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Magic Drive.md
All-Pedal,Alcmene Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Alcmene Overdrive.md
All-Pedal,Devil's Triad Essentials,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Devil's Triad Essentials.md
All-Pedal,Slamurai Bushido Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Slamurai Bushido Drive.md
Ampeg,Scrambler Bass Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Scrambler Bass Overdrive.md
Amplified Nation,Big Bloom Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Big Bloom Overdrive.md
Amplified Nation,Bigger Bloom Overdrive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 047/Bigger Bloom Overdrive.md
AmpMojo,Skate Fuzz (SKUZZ),Fuzz,DONE,DONE,DONE,./research/pedals/PRP Batch 048/Skate Fuzz (SKUZZ).md
AmpMojo,Sol Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 048/Sol Drive.md
Amptweaker,Bass BluesFuzz,Fuzz,DONE,DONE,DONE,./research/pedals/PRP Batch 048/Bass BluesFuzz.md
Amptweaker,Bass BluesFuzz Jr,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_BluesFuzz.md
Amptweaker,Bass TightDrive,Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_TightDrive.md
Amptweaker,Bass TightDrive Jr,Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_TightDrive_Jr.md
Amptweaker,Bass TightFuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_TightFuzz.md
Amptweaker,Bass TightFuzz Jr,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_TightFuzz_Jr.md
Amptweaker,Bass TightMetal Jr,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_TightMetal_Jr.md
Amptweaker,Bass TightRock Jr,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Bass_TightRock_Jr.md
Amptweaker,Big Rock Pro,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Big_Rock_Pro.md
Amptweaker,Big Rock Pro II,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Big_Rock_Pro_II.md
Amptweaker,BluesFuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/BluesFuzz.md
Amptweaker,BluesFuzz Jr,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/BluesFuzz_Jr.md
Amptweaker,Fat Metal,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Fat_Metal.md
Amptweaker,Fat Metal Pro,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Fat_Metal_Pro.md
Amptweaker,Fat Metal Pro II,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Fat_Metal_Pro_II.md
Amptweaker,Fat Rock,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Fat_Rock.md
Amptweaker,Tight Drive,Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Drive.md
Amptweaker,Tight Drive Jr,Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Drive_Jr.md
Amptweaker,Tight Drive Pro,Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Drive_Pro.md
Amptweaker,Tight Metal,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Metal.md
Amptweaker,Tight Metal Jr,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Metal_Jr.md
Amptweaker,Tight Metal Pro,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Metal_Pro.md
Amptweaker,Tight Metal Pro II,Distortion,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Metal_Pro_II.md
Amptweaker,Tight Rock,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Rock.md
Amptweaker,Tight Rock Jr,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/Tight_Rock_Jr.md
Amptweaker,TightBoost,Overdrive,DONE,DONE,DONE,./research/pedals/Amptweaker/TightBoost.md
Amptweaker,TightFuzz,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/TightFuzz.md
Amptweaker,TightFuzz Jr,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/TightFuzz_Jr.md
Amptweaker,TightFuzz Pro,Fuzz,DONE,DONE,DONE,./research/pedals/Amptweaker/TightFuzz_Pro.md
Amsterdam Cream,Big Eye Fuzz,Fuzz,DONE,DONE,DONE,./research/pedals/PRP Batch 049/Big Eye Fuzz.md
Amsterdam Cream,Original Distortion,Distortion,DONE,DONE,DONE,./research/pedals/PRP Batch 049/Original Distortion.md
Amsterdam Cream,Plain Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 049/Plain Drive.md
AMT Electronics,B-1 BG-Sharp,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 049/B-1 BG-Sharp.md
AMT Electronics,BS British Sound,Distortion,DONE,DONE,DONE,./research/pedals/PRP Batch 049/BS British Sound.md
AMT Electronics,CS California Sound,Distortion,DONE,DONE,DONE,./research/pedals/PRP Batch 049/CS California Sound.md
AMT Electronics,DM-3 DistMachine,Distortion,DONE,DONE,DONE,./research/pedals/PRP Batch 049/DM-3 DistMachine.md
AMT Electronics,M-1 JM-800,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 049/M-1 JM-800.md
AMT Electronics,R-1 Rectifier,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 049/R-1 Rectifier.md
AMT Electronics,Rammstein RD Distortion Combo Emulator,Distortion,DONE,DONE,DONE,./research/pedals/PRP Batch 049/Rammstein RD Distortion Combo Emulator.md
AMT Electronics,S-1,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 050/S-1.md
AMT Electronics,SS-11B,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 050/SS-11B.md
AMT Electronics,SS-20,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 050/SS-20.md
AMtech Handwired,Destroyer,Distortion,DONE,DONE,DONE,./research/pedals/PRP Batch 050/Destroyer.md
AMtech Handwired,Tube Drive,Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 050/Tube Drive.md
amukaT,Tweaker,Fuzz,DONE,DONE,DONE,./research/pedals/PRP Batch 050/Tweaker.md
Amzel Electronics,Cheshire Cat Tone Evaporator,Distortion / Overdrive,DONE,DONE,DONE,./research/pedals/PRP Batch 050/Cheshire Cat Tone Evaporator.md
Analog Alien,Alien Bass Station,Distortion / Fuzz / Overdrive,DONE,DONE,DONE,./research/pedals/Analog Alien/Alien_Bass_Station.md
