builder_name	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Cusack Music	USA	2000s-present	Boutique pedal builder with distortion/overdrive products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Need full dirt-product inventory.
Fulltone	USA	1990s-2020s	Major boutique builder with fuzz, distortion and overdrive	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Historical closure/inventory status must be documented separately from product history.
Fuzzrocious Pedals	USA	2000s-present	Boutique builder with strong fuzz/distortion catalog	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Large art/finish universe; defer variant archaeology until catalog is complete.
Death By Audio	USA	2000s-present	Boutique builder known for fuzz/distortion	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	High-priority boutique catalog.
Wren and Cuff	USA	2000s-present	Boutique builder strongly associated with fuzz	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedals-by-preferred-pedal-makers	Vintage-recreation and modern product branches need separation later.
Black Arts Toneworks	USA	2000s-present	Boutique builder with fuzz/distortion emphasis	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Catalog and limited-run audit required.
Spaceman Effects	USA	2000s-present	Boutique builder with multiple fuzz/overdrive products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Variant editions and limited runs likely require later specimen pass.
Pigtronix	USA	2000s-present	Effects manufacturer with overdrive/distortion/fuzz products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Separate pedal-format and larger effects products.
Suhr Effects	USA	2000s-present	Builder with overdrive/distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Product catalog and Suhr/other brand relationships need mapping.
Xotic Effects	USA	1990s-present	Major boutique effects builder with overdrive/boost/fuzz products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	High-priority due large and historically influential catalog.
Vemuram	Japan	2000s-present	Boutique Japanese builder with overdrive products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Japanese production history and revisions need separate census.
Big Tone Music Brewery	USA	2000s-present	Boutique builder with fuzz/overdrive products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Determine whether all historical products remain attributable to same entity.
Subdecay	USA	2000s-present	Boutique effects builder with dirt products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Catalog enumeration first.
Keeley Electronics	USA	2000s-present	Major boutique builder with overdrive/distortion products and modifications	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Distinguish original Keeley designs, modified products and collaborations.
DigiTech	USA	1980s-present	Major effects manufacturer with distortion/fuzz products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Large catalog and ownership transitions require breadth-first treatment.
Roger Mayer	UK/USA	1960s-present	Historical builder associated with fuzz and distortion products	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Historical Jimi Hendrix-era work and later commercial products must be separated.
Menatone	USA	1990s-present	Boutique overdrive/distortion builder	CENSUS_ONLY	https://www.guitarpedalx.com/news/guitar-pedal-directory---favourite-pedal-makers	Duplicate source lead retained intentionally; canonical builder record to verify once census merge occurs.
Jetter Gear	USA	2000s-present	Boutique overdrive builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current/modern builder census candidate.
Hermida Audio	USA	2000s-2010s	Boutique overdrive/distortion builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Important for lineage into J. Rockett Audio Designs.
Greer Amplification	USA	2000s-present	Boutique overdrive/distortion builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Catalog enumeration required.
Mythos Pedals	USA	2010s-present	Boutique overdrive/fuzz/distortion builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current builder with many named models.
Silktone	USA	2010s-present	Boutique pedal builder with overdrive/fuzz products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current builder census candidate.
Beetronics FX	USA	2010s-present	Boutique pedal builder with fuzz/distortion products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current builder; unusual visual identity makes specimen work valuable later.
Does It Doom	USA	2010s-present	Boutique builder focused on heavy fuzz/distortion	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current niche builder candidate.
Fortin	Canada/USA	2000s-present	High-gain distortion pedal builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Separate collaborations and licensed products from core Fortin designs.
1981 Inventions	USA	2010s-present	Boutique distortion pedal builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current builder candidate.
CMAT Mods	USA	2000s-present	Boutique builder/modder with overdrive/fuzz products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Separate modified commercial products from original designs.
Stone Deaf FX	UK	2010s-present	Boutique distortion/fuzz/overdrive builder	DISCOVERED	https://www.musiciansfriend.com/amplifiers-effects	Already represented; use this source as an independent census cross-check.
Mr. Black	USA	2000s-present	Boutique pedal builder with dirt products	DISCOVERED	https://www.musiciansfriend.com/amplifiers-effects	Already represented; useful cross-check for builder census.
Mojo Hand FX	USA	2000s-present	Boutique builder with fuzz/overdrive/distortion	DISCOVERED	https://www.musiciansfriend.com/amplifiers-effects	Already represented; catalog completion later.
KMA Machines	Germany	2010s-present	Boutique effects builder with distortion/fuzz products	DISCOVERED	https://www.musiciansfriend.com/amplifiers-effects	Already represented; country attribution and catalog completion cross-check.
Jam Pedals	Greece	2000s-present	Boutique builder with overdrive/fuzz products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current builder candidate; verify complete dirt catalog.
Real McCoy Custom	USA	2000s-present	Boutique wah/overdrive adjacent builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Include only products within dirt scope after catalog verification.
Cornerstone	Italy	2010s-present	Boutique pedal builder with overdrive products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Italian boutique candidate.
Fuchs Audio Technology	USA	2000s-present	Amp/effects builder with overdrive products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Determine whether pedal products belong in main builder census or amp-adjacent index.
Benson Amps	USA	2010s-present	Amp builder with overdrive/fuzz pedal products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Treat pedal manufacturer identity distinctly from amplifier products.
Origin Effects	UK	2010s-present	Pedal builder with overdrive/distortion products	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Current builder candidate.
Greer Amplification	USA	2000s-present	Boutique overdrive builder	CENSUS_ONLY	https://www.musiciansfriend.com/amplifiers-effects	Duplicate lead for source reconciliation.
