Builder,Pedal,Source URL,Note
Mad Professor Amplification,Big Tweedy Drive,https://www.bonedo.de/artikel/mad-professor-big-tweedy-drive-test/,Exact-model review
Amptweaker,Bass BluesFuzz Jr,https://www.bax-shop.be/nl/bass-fuzz/amptweaker-bass-bluesfuzz-jr-bass-fuzz-pedaal,Exact-model retailer page with controls and power specifications
Amptweaker,Bass BluesFuzz Jr,https://www.rockboard.de/en/pedalPedia/Amptweaker/BluesFuzz-Jr/68974489/,Exact-model RockBoard page
Amptweaker,Bass BluesFuzz Jr,https://www.talkbass.com/threads/amptweaker-bass-tight-fuzz-jr.1299593/,Exact-model Amptweaker owner/engineer discussion
EarthQuaker Devices,Acapulco Gold — Power Amp Distortion,https://www.guitarworld.com/gear/review-earthquaker-devices-acapulco-gold-pedal,Exact-model Guitar World review
D&M,Distortion,https://www.freestompboxes.org/viewtopic.php?p=251507,Exact-model teardown/discussion with component and provenance notes
Universal Amplifier Corp,Fuzzz Boxx,https://fuzzboxes.org/features/astrotone,Exact-model historical and circuit-family source
Bad Penny FX,The Fuzz Controller V2,https://reverb.com/item/36572523-bad-penny-fx-the-fuzz-controller-v2,Exact-model Reverb listing with V2 redesign and controls
Crown,W-Fuzz - 8-Transistor Fuzz-Wah,https://www.effectsdatabase.com/model/crown/wfuzz,Exact Effects Database model page
D&M,Distortion,https://www.freestompboxes.org/viewtopic.php?t=3390,Exact-model teardown/discussion
Walrus Audio,385 Overdrive MKII — Overdrive,https://manuals.plus/m/ab0a9a52426827539efcc1ab763656a0437941a4143344b7796838e28b9f8267,Exact-model manual text
EarthQuaker Devices,Acapulco Gold — Power Amp Distortion,https://www.earthquakerdevices.com/manuals,Manufacturer manuals index with Acapulco Gold versions
Amptweaker,Bass TightRock Jr,https://www.effectsdatabase.com/model/amptweaker/tightrock/bass/jr,Exact Effects Database model page
Amptweaker,Bass TightRock Jr,https://www.rockboard.de/en/pedalPedia/Amptweaker/Bass-TightRock-Jr/68974485/,Exact RockBoard pedal reference
Amptweaker,Bass TightRock Jr,https://www.bax-shop.nl/downloads/products/9000-0052-2751/btrjr-web-manual.pdf,Exact-model manufacturer manual mirror
Amptweaker,Bass TightRock Jr,https://www.talkbass.com/threads/amptweaker-club.1030810/page-2,Exact-model owner discussion
Amptweaker,Bass TightFuzz,https://www.premierguitar.com/amptweaker-bass-tightfuzz-pedal-review,Exact-model Premier Guitar review
Amptweaker,Bass TightFuzz Jr,https://www.talkbass.com/threads/amptweaker-bass-tight-fuzz-jr.1299593/,Exact-model owner/engineer discussion
Mad Professor Amplification,Golden Cello,https://www.premierguitar.com/gear/mad-professor-golden-cello-pedal-review,Exact-model Premier Guitar review
Mad Professor Amplification,Golden Cello,https://www.effectsdatabase.com/reviews/madprofessor/goldencello,Exact-model Effects Database review
Amptweaker,Big Rock Pro,https://www.effectsdatabase.com/model/amptweaker/bigrock/pro,Exact Effects Database model page and manufacturer press release
Amptweaker,Big Rock Pro,https://reverb.com/p/amptweaker-big-rock-pro,Exact-model Reverb reference
Amptweaker,Big Rock Pro,https://reverb.com/item/566662-amptweaker-big-rock-pro-distortion-pedal,Exact-model Reverb listing with controls and specifications
Amptweaker,Big Rock Pro,https://www.manualslib.com/manual/1304836/Amptweaker-Bigrock-Pro.html,Exact-model manual mirror
Amptweaker,Fat Rock,https://www.effectsdatabase.com/model/amptweaker/fatrock,Exact Effects Database model page with manufacturer press release
Amptweaker,Fat Rock,https://reverb.com/p/amptweaker-fat-rock,Exact-model Reverb product reference
Amptweaker,Fat Rock,https://reverb.com/item/3460320-amptweaker-fat-rock-distortion-guitar-effects-pedal,Exact-model Reverb listing with detailed feature description
Amptweaker,Fat Rock,https://www.freestompboxes.org/viewtopic.php?t=33838,Exact-model circuit tracing and measured voltages
Amptweaker,Fat Rock,https://www.premierguitar.com/gear/gallery-summer-namm-2013,Exact-model Summer NAMM coverage
Amptweaker,TightDrive Jr,https://www.effectsdatabase.com/model/amptweaker/tightdrive/jr,Exact Effects Database model page
Amptweaker,TightBoost,https://www.effectsdatabase.com/model/amptweaker/tightboost,Exact Effects Database model page
Amptweaker,TightFuzz,https://www.effectsdatabase.com/model/amptweaker/tightfuzz,Exact Effects Database model page
Amptweaker,TightFuzz Pro,https://www.effectsdatabase.com/model/amptweaker/tightfuzz/pro,Exact Effects Database model page
Amptweaker,TightMetal Pro II,https://www.effectsdatabase.com/model/amptweaker/tightmetal/pro/2,Exact Effects Database model page
Amptweaker,TightRock,https://www.effectsdatabase.com/model/amptweaker/tightrock,Exact Effects Database model page
Amptweaker,TightRock Jr,https://www.effectsdatabase.com/model/amptweaker/tightrock/jr,Exact Effects Database model page
Amptweaker,TightBoost,https://www.amptweaker.com/page/Amptweaker-TightBoost-Effects-Pedal-35.aspx,Exact historical Amptweaker product page
Amptweaker,TightFuzz Pro,https://www.amptweaker.com/page/TightFuzz-Pro-Distortion-by-Amptweaker-93.aspx,Exact historical Amptweaker product page
Amptweaker,TightRock,https://amptweaker.com/wp-content/uploads/2020/10/Tight-Rock-Manual.pdf,Manufacturer manual PDF
Amptweaker,Tight Metal Pro II,https://amptweaker.com/product/tight-metal-pro-ii/,Manufacturer product page
Amsterdam Cream,Big Eye Fuzz,https://amsterdamcream.com/post/74580352500/big-eye-fuzz,Exact manufacturer product page
Amsterdam Cream,Big Eye Fuzz,https://www.effectsdatabase.com/model/amsterdamcream/bigeye,Exact Effects Database model page
Amsterdam Cream,Big Eye Fuzz,https://www.guitarpedalx.com/news/gpx-blog/15-of-the-best-mini-fuzz-pedals---2018-edition,Independent exact-model tonal coverage
Amsterdam Cream,Plain Drive,https://reverb.com/item/73333255-amsterdam-cream-plain-drive-overdrive-2010s-w-original-box-guitar-bass-effects-pedal-used-mint,Exact-model Reverb listing
Amsterdam Cream,Plain Drive,https://www.mule.co.kr/bbs/userguide/guide?idx=2519084&v=v,Exact-model Korean user review
Amsterdam Cream,Plain Drive,https://guitaristmano.com/89,Exact-model independent review
Amsterdam Cream,Original Distortion,https://www.mule.co.kr/bbs/info/guide?andor=and&category=&ct1=&ct2=&ct3=&dong=&end_price=&gugun=&idx=55712273&map=list&mode=list&od=desc&of=wdate&options=&page=3&period=6&qf=title_legacy&qs=ox&region=&sell_status=&sido=&soldout=&start_price=&start_price=&start_price=&v=v,Exact-model Korean comparison review
Amptweaker,TightDrive Jr,https://reverb.com/p/amptweaker-tight-drive-jr,Exact-model Reverb reference with controls and tonal description
Amptweaker,Tight Rock Jr,https://www.effectsdatabase.com/model/amptweaker/tightrock/jr,Exact Effects Database model page
Amptweaker,Tight Rock Jr,https://www.youtube.com/watch?v=BMKxbufNHXU,Exact-model Amptweaker/Mike Hermans demo
Amptweaker,Fat Rock,https://www.youtube.com/watch?v=6cMnTr2RSqE,Exact-model gearmanndude demo
Amsterdam Cream,Original Distortion,https://www.mule.co.kr/bbs/info/guide?andor=and&category=&ct1=&ct2=&ct3=&dong=&end_price=&gugun=&idx=55712273&map=list&mode=list&od=desc&of=wdate&options=&page=3&period=6&qf=title_legacy&qs=ox&region=&sell_status=&sido=&soldout=&start_price=&store=&v=v,Exact-model Korean comparison review
AMT Electronics,B-1 BG-Sharp,https://www.effectsdatabase.com/model/amt/legendamp/b1,Exact Effects Database model page
AMT Electronics,B-1 BG-Sharp,https://rock.lviv.ua/article/16130/,Independent exact-model historical AMT product listing
AMT Electronics,BS British Sound,https://www.effectsdatabase.com/model/amt/bs,Exact Effects Database model page
AMT Electronics,BS British Sound,https://www.guitariste.com/forums/pedales-effets-homestudio%2Ctout-sur-les-pedales-disto-et-metal-sommaire-en-p1%2C289408%2C20.html,Independent historical exact-model listing
AMT Electronics,CS California Sound,https://www.effectsdatabase.com/model/amt/cs,Exact Effects Database model page
AMT Electronics,CS California Sound,https://www.guitariste.com/forums/pedales-effets-homestudio%2Ctout-sur-les-pedales-disto-et-metal-sommaire-en-p1%2C289408%2C20.html,Independent historical exact-model listing
AMT Electronics,DM-3 DistMachine,https://www.effectsdatabase.com/model/amt/dm3,Exact Effects Database model page
AMT Electronics,DM-3 DistMachine,https://en.audiofanzine.com/other-guitar-saturation-effect/amt-electronics/amt-dm3/user_reviews/,Independent exact-model user reviews
AMT Electronics,M-1 JM-800,https://www.effectsdatabase.com/model/amt/legendamp/m1,Exact Effects Database model page
AMT Electronics,M-1 JM-800,https://www.legato.su/product/pedal_effektov_amt_m_1_jm_800/,Independent exact-model retailer page
AMT Electronics,R-1 Rectifier,https://www.effectsdatabase.com/model/amt/legendamp/r1,Exact Effects Database model page
AMT Electronics,R-1 Rectifier,https://rock.lviv.ua/article/16130/,Independent exact-model historical AMT product listing
AMT Electronics,SS-11B,https://amt-sales.com/products/ss-11b,Exact-model AMT sales product page
AMT Electronics,SS-11B,https://amtelectronics.com/new/manuals/SS-11-manual-ENG.pdf,Manufacturer manual covering SS-11A/B
AMT Electronics,SS-20,https://amtelectronics.com/new/amt-ss-20/,Exact manufacturer product page
AMT Electronics,SS-20,https://amtelectronics.com/new/manuals/SS-20-v2-manual-ENG.pdf,Manufacturer manual
Analog Alien,Alien Bass Station,https://analogalien.com/alien-bass-station-abs/,Exact manufacturer model page
Analog Alien,Alien Bass Station,https://www.sweetwater.com/store/detail/ABStation--analog-alien-alien-bass-station-abs-compressor-amp-generator-fuzz-bass-pedal/reviews,Independent retailer reviews
Analog Alien,Alien Tone Dragon,https://analogalien.com/,Exact manufacturer site model reference
Analog Alien,Alien Tone Dragon,https://www.sweetwater.com/store/detail/AlienToneDr--analog-alien-alien-tone-dragon-boost-overdrive-eq-pedal/reviews,Independent retailer reviews
Analog Alien,Alien Twister,https://www.premierguitar.com/gear/reviews/analog-alien-alien-twister-pedal-review,Exact-model Premier Guitar review
Analog Alien,Alien Twister,https://www.sweetwater.com/store/detail/AlienTwister--analog-alien-alien-twister-fuzz-buffer-pedal/reviews,Independent retailer reviews
Analog Alien,Bucket Seat,https://analogalien.com/product/bucket-seat-overdrive-pedal/,Exact manufacturer model page
Analog Alien,Bucket Seat,https://analogalien.com/wp-content/uploads/2019/05/MANUAL_BUCKET_SEAT.pdf,Manufacturer manual
Analog Alien,FuzzBubble-45,https://analogalien.com/blog/major-review-for-the-fuzzbubble-45-fuzz-face-overdrive-pedal/,Exact manufacturer review page
Analog Alien,FuzzBubble-45,https://www.premierguitar.com/cloud-9-audio-analog-alien-fuzzbubble-45-pedal-review,Exact-model Premier Guitar review
Analog Alien,Joe Walsh Double Classic,https://analogalien.com/blog/guitar-player-review-joe-walsh-double-classic/,Exact manufacturer review announcement
Analog Alien,Joe Walsh Double Classic,https://www.sweetwater.com/store/detail/JWDC--analog-alien-joe-walsh-double-classic-compressor-overdrive-pedal/reviews,Independent retailer reviews
Analog Alien,Rumble Seat,https://www.premierguitar.com/gear/analog-alien-rumble-seat-review,Exact-model Premier Guitar review
Analog Alien,Rumble Seat,https://www.sweetwater.com/store/detail/RumbleSeat--analog-alien-rumble-seat-overdrive-delay-reverb-pedal/reviews,Independent retailer reviews
Amzel Electronics,Cheshire Cat Tone Evaporator,https://delicious-audio.com/pedal-reviews-amzel-electronics-cheshire-cat-tone-evaporator/,Exact-model independent review
Amzel Electronics,Cheshire Cat Tone Evaporator,https://reverb.com/item/84162609-amzel-electronics-cheshire-cat-early-2010s,Exact-model Reverb reference with detailed control description
Amzel Electronics,Cheshire Cat Tone Evaporator,https://delicious-audio.com/new-pedals-amzel-electronics-cheshire-cat-tone-evaporator/,Exact-model launch coverage
"AMT Electronics","Rammstein RD Distortion Combo Emulator","https://www.effectsdatabase.com/model/amt/rd","Exact Effects Database model page"
"AMT Electronics","Rammstein RD Distortion Combo Emulator","https://reverb.com/item/86278923-amt-electronics-rammstein-distortion-combo-emulator-very-rare-pedal-discontinued","Exact-model Reverb listing"
"AMT Electronics","S-1","https://www.effectsdatabase.com/model/amt/legendamp/s1","Exact Effects Database model page"
"AMT Electronics","S-1","https://ultimatemetal.com/threads/need-help-deciding-on-a-preamp-pedal.912559/","Exact-model user discussion"
"AMT Electronics","B-1 BG-Sharp","https://www.legato.su/product/pedal_effektov_amt_b_1_bg_sharp_emulates_legend_amps_pedal/","Exact-model retailer page"
"AMT Electronics","R-1 Rectifier","https://www.legato.su/product/pedal_effektov_amt_r_1_rectifier_emulates_legend_amps_pedal/","Exact-model retailer page"
"AMT Electronics","DM-3 DistMachine","https://ravedump.com/hardware/amt-electronics-distmachine-dm-3-programmable-hw-amt-dm3","Exact-model listing with controls and programmable architecture"
"AMT Electronics","SS-11B","https://www.effectsdatabase.com/model/amt/ss11/b","Exact Effects Database model page"
"AMT Electronics","SS-11B","https://thermionic-studios.com/wiki/index.php?title=SS-11B","Exact-model technical reference"
"AMT Electronics","SS-20","https://www.effectsdatabase.com/model/amt/ss20","Exact Effects Database model page"
"AMT Electronics","SS-20","https://www.lonephantom.com/2010/02/amt-electronics-ss-20-guitar-preamp-review/","Exact-model independent review"
"AMT Electronics","Rammstein RD Distortion Combo Emulator","https://reverb.com/en-nl/item/78170456-amt-electronics-rammstein-distortion-combo-emulator","Exact-model Reverb listing"
"Analog Man","Astro Tone","https://www.effectsdatabase.com/model/analogman/astrotone","Exact Effects Database model page"
"Analog Man","Astro Tone","https://www.premierguitar.com/gear/analog-man-astro-tone-fuzz-pedal-review","Exact-model independent review"
"Analog Man","King Of Tone","https://www.effectsdatabase.com/model/analogman/kingoftone","Exact Effects Database model page"
"Analog Man","King Of Tone","https://www.analogman.com/manuals/PDFs%20%28may%20be%20older%29/kotver4.pdf","Manufacturer Version 4 manual"
"Analog Man","King Of Tone","https://squidguitarinc.wordpress.com/2016/02/23/analog-man-king-of-tone-review/","Exact-model independent review"
"Analog Man","Prince Of Tone","https://www.effectsdatabase.com/model/analogman/princeoftone","Exact Effects Database model page"
"Analog Man","Prince Of Tone","https://www.analogman.com/manuals/Prince%20of%20Tone%20Manual0820.pdf","Manufacturer manual"
"Analog Man","Peppermint Fuzz","https://www.buyanalogman.com/Analog_Man_Peppermint_Fuzz_pedal_p/am-peppermint-fuzz.htm","Exact manufacturer model page with customer reviews"
"Analog Man","Sun Face","https://www.effectsdatabase.com/model/analogman/sunface","Exact Effects Database model page"
"Analog Man","Sun Face","https://www.buyanalogman.com/ProductDetails.php?ProductCode=AM-SUN-FACE-READYJB","Exact manufacturer model page with current customer reviews"
"Analog Fox","Tone Machine","https://www.effectsdatabase.com/model/analogfox/tonemachine","Exact Effects Database model page"
"Analog Fox","Tone Machine","https://www.youtube.com/watch?v=EbiGdE-IwBc","Exact-model independent video/demo"
"Analog King","Fuzz Machine - Germanium Fuzz + Overdrive","https://www.effectsdatabase.com/model/analogking/fuzzmachine","Exact Effects Database model page"
"Analog King","ZenTone - Harmonic Drive","https://www.effectsdatabase.com/model/analogking/zentone","Exact Effects Database model page"
"Analog Man","Peppermint Fuzz","https://www.effectsdatabase.com/model/analogman/peppermintfuzz","Exact Effects Database model page"
"amukaT","Tweaker","https://www.effectsdatabase.com/model/amukat/tweaker","Exact Effects Database model page with V2 history and component information"
"amukaT","Tweaker","https://delicious-audio.com/amukat-gadgets-tweaker/","Exact-model independent V2 review"
"AMtech Handwired","Destroyer","https://www.amtechhandwired.com/?page_id=732","Exact manufacturer page with Destroyer specifications and description"
"AMtech Handwired","Destroyer","https://www.amtechhandwired.com/?page_id=174","Manufacturer video index with Destroyer demo"
"AMtech Handwired","Tube Drive","https://www.amtechhandwired.com/?page_id=110","Exact manufacturer page with Tube Drive specifications"
"AMtech Handwired","Tube Drive","https://www.amtechhandwired.com/?page_id=174","Manufacturer video index with Tube Drive demo"
"Analog Man","Sun Lion","https://analogman.com/sunlion.htm","Exact manufacturer model page with history, controls, transistor class, and power details"
"Analog Man","Sun Lion","https://www.effectsdatabase.com/model/analogman/sunlion","Exact Effects Database model page"
"Analog Music Company","Evil Pumpkin","https://www.analogmusic.company/evil-pumpkin","Exact manufacturer model page with circuit-bent DS-1 basis and current architecture"
"Analog Music Company","Evil Pumpkin","https://www.pedal-of-the-day.com/2020/10/10/analog-music-company-the-evil-pumpkin-synth-fuzz/","Exact-model independent review"
"Analog Music Company","Evil Pumpkin","https://www.analogmusic.company/news-projects-highlights/we-shipped-all-the-evil-pumpkins","Exact manufacturer revision/history announcement"
"Analog Music Company","Mary Gorgias Ultra High Gain Distorter","https://www.analogmusic.company/shop/mary-gorgias-xx-ultra-high-gain-distorter","Exact manufacturer model page with circuit/component description"
"Analog Music Company","Mary Gorgias Ultra High Gain Distorter","https://www.analogmusic.company/news-projects-highlights","Manufacturer news index with exact-model video entry"
"Analog Noir","Fuzz Face / Rangemaster Treble Booster","https://analognoirelectric.com/pedals/p/rangemaster-fuzzface","Exact manufacturer model page with transistor options and controls"
"Analog Noir","Fuzz Face / Rangemaster Treble Booster","https://onethousandpedals.com/pedal/analog-noir-fuzz-face-rangemaster-treble-booster","Independent exact-model specification page"
"Analog Noir","Harmonic Percolator","https://analognoirelectric.com/pedals/p/percolator","Exact manufacturer model page with transistor and diode details"
"Analog Noir","Tone Bender MKI","https://reverb.com/item/53303286-analog-noir-mk1-noir-bender","Exact-model Reverb listing with circuit and transistor details"
"Analog Noir","Tone Bender MKI / Rangemaster Treble Booster","https://reverb.com/item/77932594-analog-noir-dual-mki-tone-bender-rangemaster-treble-booster","Exact-model Reverb listing"
"Analog Noir","Tone Bender MK1.5 / Tone Bender MKII","https://reverb.com/fr/item/63168588-analog-noir-dual-tone-bender-mkii-tone-bender-mk1-5","Exact-model Reverb listing with topology and transistor details"
"Analog Noir","Si / Ge Fuzz Face","https://analognoirelectric.com/pedals/p/si-ge-fuzz-face","Exact manufacturer model page"
"Analog Noir","Si / Ge Fuzz Face","https://onethousandpedals.com/pedal/analog-noir-si-ge-fuzz-face","Independent exact-model specification page"
"Analog Sound","Atomic Overdrive","https://www.effectsdatabase.com/model/analogsound/atomicoverdrive","Exact Effects Database model page"
"Analog Sound","Atomic Overdrive","https://forums.rgc.ro/topic/75516-pedale/","Independent historical user listing identifying the Atomic Overdrive"
"Analog Noir","Tone Bender MKI / Rangemaster Treble Booster","https://www.craigslist.org/view/d/portland-analog-noir-tone-bender-mki/aGXuix9b9oYZD3TTYN65Hj","Exact-model independent listing identifying the dual MKI/Rangemaster build"
"Analog Noir","Tone Bender MK1.5 / Tone Bender MKII","https://analognoirelectric.com/pedals/p/mk15-mkii","Exact manufacturer model page with both circuit descriptions"
"Analog Noir","Tone Bender MKI","https://analognoirelectric.com/pedals/p/tone-bender-mki","Exact manufacturer model page"
"Analog Noir","Si / Ge Fuzz Face","https://analognoirelectric.com/pedals/p/fuzzface","Exact manufacturer model page"
"Analog Noir","Zonk Machine","https://analognoirelectric.com/pedals/p/zonkmachine","Exact manufacturer model page with circuit and transistor details"
"Analog Noir","Zonk Machine","https://onethousandpedals.com/pedal/analog-noir-zonk-machine","Independent exact-model specification page"
"Analog Sound","Atomic Overdrive","https://www.effectsdatabase.com/model/analogsound","Exact Effects Database builder page listing Atomic Overdrive"
"Analog Man","Astro Tone","https://www.buyanalogman.com/Analog_Man_Astro_Tone_Fuzz_p/AMAstroTone.htm","Exact manufacturer model page"
"Analog Man","King Of Tone","https://www.analogman.com/kot.htm","Exact manufacturer model page"
"Analog Man","Peppermint Fuzz","https://www.analogman.com/pepper.htm","Exact manufacturer model page with Dark Peppermint history and construction details"
"Analog Man","Prince Of Tone","https://www.analogman.com/PrinceOfTone.htm","Exact manufacturer model page"
"Analog Man","Sun Face","https://www.analogman.com/sunface.htm","Exact manufacturer model page"
"Analog Noir","Zonk Machine","https://www.onethousandpedals.com/pedal/analog-noir-zonk-machine","Independent exact-model specification page"
"Amptweaker","Tight Drive Jr","https://www.effectsdatabase.com/model/amptweaker/tightdrive/jr","Exact Effects Database model page"
"Amptweaker","Tight Drive Jr","https://reverb.com/p/amptweaker-tight-drive-jr","Exact-model Reverb reference with controls and independent review"
"Amptweaker","Tight Rock Jr","https://reverb.com/p/amptweaker-tight-rock-jr","Exact-model Reverb reference"
"Amptweaker","Tight Rock Jr","https://reverb.com/item/92068883-amptweaker-tight-rock-jr-og-red","Exact-model original red example with feature description"
"Amsterdam Cream","Original Distortion","https://amsterdamcream.com/","Manufacturer site explicitly listing Original Distortion"
"AMT Electronics","Rammstein RD Distortion Combo Emulator","https://reverb.com/item/72391956-amt-electronics-rammstein-du-hast-distortion-combo-emulator","Exact-model Reverb listing identifying the first version and controls"
"Analog King","ZenTone - Harmonic Drive","https://reverb.com/item/10895015-analog-king-zentone-harmonic-drive","Exact-model Reverb listing"
"Amsterdam Cream","Original Distortion","https://brosmusic.co.kr/brands/amsterdam-cream/","Independent Korean retailer page explicitly listing Original Distortion"
"Amsterdam Cream","Original Distortion","https://www.tumgik.com/amsterdamcream","Independent Tumblr mirror preserving the original model description and specifications"
"AMT Electronics","SS-20","https://forum.seymourduncan.com/threads/fs-amt-electronics-ss-20.325126/","Exact-model independent owner listing with technical information"
"AMT Electronics","SS-20","https://en.audiofanzine.com/tube-guitar-preamp/amt-electronics/SS-20-Preamp/user_reviews/0/","Independent exact-model user review database"
"Analog Sound","Double Trouble Overdrive","https://www.effectsdatabase.com/model/analogsound","Exact Effects Database builder page explicitly listing Double Trouble Overdrive"
"Analog Sound","Smooth O' Drive","https://www.effectsdatabase.com/model/analogsound","Exact Effects Database builder page explicitly listing Smooth O' Drive"
"Analog Sound","The Boogie Man","https://www.effectsdatabase.com/model/analogsound","Exact Effects Database builder page explicitly listing The Boogie Man"
"Analog Sound","Scream For Cream OD","https://www.effectsdatabase.com/model/analogsound","Exact Effects Database builder page explicitly listing Scream For Cream OD"
"Analog Music Company","Mary Gorgias Ultra High Gain Distorter","https://www.analogmusic.company/shop","Manufacturer shop index containing exact model listing"
