canonical_builder	model	alias_or_variant	category	era_or_corridor	catalog_status	evidence_level	relationship_notes	source_trail
DOD	FX86 Death Metal Distortion	FX86B Death Metal	DISTORTION	1990s	INDEXED	PRIMARY	Official DOD manuals index confirms model; official DOD history identifies Death Metal among the brand's extreme-era products.	https://digitech.com/product-manuals/ ; https://digitech.com/history/
DOD	FX92 Bass Grunge		BASS_DISTORTION	1990s	INDEXED	SECONDARY	Bass-specific dirt; preserve bass classification.	https://digitech.com/product-manuals/ ; https://americaspedals.net/whatsnew.html
DOD	FX91 Bass Overdrive		BASS_OVERDRIVE	1998-present-lineage	INDEXED	SECONDARY	Introduced at Winter NAMM 1998 according to specialist historical coverage; succeeded FX92 in lineup.	https://americaspedals.net/fx91.html
DOD	FX100 Integrated Tube Even Harmonic Overdrive	Integrated Tube / I.T.	OVERDRIVE	1996-1998	INDEXED	SECONDARY	Special-purpose late-1990s DOD overdrive; independently documented as a Summer NAMM 1996 introduction and discontinued in 1998.	https://www.effectsdatabase.com/model/dod/fx/fx100 ; https://reverb.com/item/182918-rare-dod-fx100-integrated-tube-even-harmonic-overdrive-pedal
DOD	FX101 Grind		DISTORTION	1996-1998	INDEXED	SECONDARY	Introduced with FX100 at Summer NAMM 1996; DOD manuals index confirms model.	https://digitech.com/product-manuals/ ; https://reverb.com/item/182918-rare-dod-fx100-integrated-tube-even-harmonic-overdrive-pedal
DOD	FX102 Mystic Blues Overdrive		OVERDRIVE	1998+	INDEXED	PRIMARY-ADJACENT	Official DOD manuals index confirms model; late-era analog overdrive lineage.	https://digitech.com/product-manuals/
DOD	YJM308 Overdrive Preamp	Yngwie Malmsteen signature	OVERDRIVE	1990s+	INDEXED	PRIMARY-ADJACENT	Signature derivative of the DOD 250 lineage; retain as its own marketed model/edition relationship.	https://digitech.com/product-manuals/
DOD	DFX5 Digital Turbo Distortion		DIGITAL_DISTORTION	1990s	BOUNDARY_RECORD	SECONDARY	Central dirt archive boundary record because it is DSP/digital rather than analog pedal genealogy; keep searchable but outside the central analog dirt count.	https://americaspedals.net/whatsnew.html
DOD	FX16 Ultimate Destroyer		DISTORTION	1980s-1990s	CANDIDATE	SECONDARY	Appears in historical FX-series indexes; requires dedicated catalog verification before promotion.	https://www.nocrotec.com/shop/product/digitech-push-button-replacement-switch-for-floor-boards/?lang=en
DOD	FX100/101 family	Shared late-1990s platform relationship	OVERDRIVE_DISTORTION	1996-1998	RELATIONSHIP_RECORD	SECONDARY	Research sources report FX100 and FX101 sharing a board/platform; archive records the relationship without publishing circuit details.	https://reverb.com/item/182918-rare-dod-fx100-integrated-tube-even-harmonic-overdrive-pedal
