canonical_builder	product_name	category	era	evidence_state	notes	sources
Moollon	Overdrive	overdrive	2002-2004 onward	INDEXED_BASELINE	Timeline identifies 2002 prototype and 2003 company founding; early core dirt product.	https://www.effectsdatabase.com/model/moollon/bufferage/overdrive
Moollon	Distortion	distortion	2003-2004 onward	INDEXED_BASELINE	Core Moollon distortion family.	https://www.effectsdatabase.com/model/moollon/bufferage/distortion
Moollon	Distortion MkII	distortion	2013	INDEXED_BASELINE	Later generation explicitly identified as MkII.	https://www.effectsdatabase.com/model/moollon/bufferage/distortion/mk2
Moollon	Distortion+Overdrive	distortion-overdrive	2000s	INDEXED_BASELINE	Combined two-drive product, distinct from individual pedals.	https://www.effectsdatabase.com/model/moollon/distod
Moollon	Fuzz Thirty-Two	fuzz	2007 onward	INDEXED_BASELINE	VintAge fuzz family; vintage-germanium concept documented by builder interview/database.	https://www.effectsdatabase.com/model/moollon/fuzz32
Korg	DST-1 Distortion	distortion	1980s	INDEXED_BASELINE	Korg Series 1 dirt model.	https://www.effectsdatabase.com/model/korg/1
Korg	DST-3 Hard Dist	distortion	1980s	INDEXED_BASELINE	Korg Series 1 higher-gain dirt model.	https://www.effectsdatabase.com/model/korg/1
Korg	OVD-1 Overdrive	overdrive	1980s	INDEXED_BASELINE	Korg Series 1 overdrive model.	https://www.effectsdatabase.com/model/korg/1
Korg	TNB-1 Tone Booster	boost	1980s	SCOPE_BOUNDARY	Gain-stage/boost product retained outside central OD/distortion/fuzz count.	https://www.effectsdatabase.com/model/korg/1
Korg	ToneWorks 104ds Hyper Distortion	distortion	1990s	INDEXED_BASELINE	Mid-1990s ToneWorks dirt family.
https://www.effectsdatabase.com/model/korg/multi
Korg	ToneWorks 105od Classic Overdrive	overdrive	1990s	INDEXED_BASELINE	Mid-1990s ToneWorks overdrive family.
https://www.effectsdatabase.com/model/korg/multi/toneworks/105od
Kingston	Exciter	boundary	1960s-1970s	SCOPE_BOUNDARY	Indexed Kingston effect, category requires further identification.
https://www.effectsdatabase.com/model/kingston
Kingston	Fuzz-Expander	fuzz	1960s-1970s	DISCOVERY	Marketed under Kingston; database identifies Japanese OEM context but factory remains unresolved in this pass.
https://www.effectsdatabase.com/model/kingston/fuzzexpander
Sekova	Model No. 59 Distortion Box	fuzz	late 1960s	DISCOVERY	Japanese-made marketed under Sekova; Nisshin Onpa/Maxon attribution is reported rather than treated as settled here.
https://www.effectsdatabase.com/model/sekova/59
