name	entity_type	region	era_bucket	dirt_evidence	research_status	source_refs	notes
Big Tone Music Brewery	Builder	USA	2010s	EQ'd Vintage Series fuzz/overdrive/distortion	DISCOVERED	https://www.premierguitar.com/gear/big-tone-music-brewery-british-overdrive-review	Sister brand/history linked to BYOC; preserve separate marketed builder entity and lineage.
Black Cat Pedals	Builder	USA	1990s-present	Fuzz/overdrive/distortion	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Historical-modern boutique candidate.
Black Country Customs	Builder / brand	UK	2010s-present	Gain effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Current UK brand; dirt catalog verification needed.
Blackhawk Amplifiers	Builder	USA	2000s-present	Guitar gain effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Amp maker with effects lead; verify individual stompboxes.
Blakemore Effects	Builder	USA	2000s-present	Fuzz/overdrive products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique candidate; verify primary catalog.
BluGuitar	Builder	Germany	2010s-present	AMPX1/V18 and gain products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	German amp/effects builder; product scope should distinguish preamps from pedals.
Bogner Amplification	Builder	USA/Germany	1990s-present	Ecstasy drive/distortion pedals	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Major amp builder with extensive gain products; manufacturer lineage needs verification.
Buffalo FX	Builder	France	2000s-present	Fuzz/overdrive/distortion	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	French boutique candidate.
BYOC	Builder / DIY manufacturer	USA	2000s-present	Big Muff, Boss-style and original dirt kits/pedals	DISCOVERED	https://www.premierguitar.com/gear/big-tone-music-brewery-british-overdrive-review	Important DIY manufacturer and Big Tone sister lineage; distinguish kits from assembled builder products.
Center Street Electronics	Builder	USA	2000s	Dirt effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Directory candidate requiring dedicated catalog search.
Chandler Limited	Brand / manufacturer	USA	2000s-present	Drive/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Studio manufacturer with effects; verify stompbox scope.
Chase Bliss Audio	Builder	USA	2010s-present	Broader gain/fuzz effects among experimental catalog	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	High-value modern builder; verify which products fall within dirt scope.
Chase Tone	Builder	USA	2010s-present	Fuzz and treble-boost products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Vintage-inspired boutique builder; catalog census later.
Cicognani Engineering	Builder	Italy	2000s-present	Effects and gain products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Italian engineering brand; verify dirt catalog.
CMAT Mods	Builder	USA	2000s-present	Modified/original drive and fuzz products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Important modder/builder distinction; catalog should separate original models from modifications.
CNZ	Brand / manufacturer candidate	USA	2010s	Distortion/overdrive effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Entity/manufacturing attribution unclear; candidate only.
Coda Effects	Builder	France	2010s-present	Overdrive/fuzz/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	French boutique builder; verify complete dirt catalog.
Cooper FX	Builder	USA	2010s-present	Arcades and experimental effects with dirt-adjacent products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Experimental builder; include only confirmed dirt products in Queue B.
CopperSound Pedals	Builder	USA	2010s-present	Renegade Multi-Bias Fuzz; Foxcatcher; Ion Warped Fuzz	DISCOVERED	https://www.coppersoundpedals.com/shop	Primary manufacturer evidence confirms multiple current dirt products.
Costalab	Builder	Italy	2000s-present	Overdrive/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Italian boutique candidate.
Creative Audio Labs	Builder	USA	2000s-present	Guitar gain effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Directory candidate; dirt scope requires verification.
Cusack Music	Builder	USA	2000s-present	Drive/fuzz products and custom effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Current US builder; catalog completion later.
Daredevil Pedals	Builder	USA	2010s-present	Fuzz/overdrive/distortion	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Chicago builder candidate; verify complete catalog.
Deadbeat Sound	Builder	USA	2010s-present	Fuzz/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique/current candidate.
Deep Space Devices	Builder	USA	2010s-present	Fuzz/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique candidate; verify dirt catalog.
Demeter Amplification	Builder	USA	1980s-present	Fat Control/overdrive and gain products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Historical-modern amp/effects company; verify relevant stompbox products.
Diezel Amplification	Builder	Germany	2000s-present	Herbert/Vh4 drive-distortion pedals and preamps	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	German amp builder with gain products; separate preamp hardware from stompboxes.
Dr. No Effects	Builder	Netherlands	2000s-present	Fuzz/overdrive/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Dutch boutique candidate; verify complete catalog.
DryBell Musical Electronics Laboratory	Builder	Croatia	2010s-present	Drive/distortion and experimental effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Croatian builder; verify dirt range.
EBS	Builder	Sweden	1990s-present	Bass overdrive/distortion/fuzz	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Important bass-effects manufacturer; dirt products in project scope should be enumerated.
Effectivity Wonder	Builder	Spain	2000s-present	Drive/fuzz effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Spanish candidate; verify catalog.
Electronic Orange	Builder	Czech Republic	2000s-present	Fuzz/drive effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Czech boutique candidate.
Electro Faustus	Builder	USA	2000s-present	Experimental gain/effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Experimental effects brand; include only confirmed dirt products.
Elektron Music Machines	Builder	Sweden	1980s-present	Electronic effects and signal processing	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Verify stompbox dirt products before canonical builder status.
Emerson Custom	Builder	USA	2010s-present	Overdrive/distortion effects	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Modern boutique candidate.
Escape Plan Pedals	Builder	USA	2000s-present	Fuzz/distortion	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique candidate.
Expresso FX	Builder	UK	2000s-present	Drive/fuzz products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	UK boutique candidate.
Fire-Eye	Builder	USA	2000s-present	Red-Eye bass preamp/drive products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Bass-focused builder; distinguish preamp from dirt pedal scope.
Foxrox Electronics	Builder	USA	2000s-present	Fuzz and octave/fuzz products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Important boutique fuzz builder; full catalog later.
Frost Giant	Builder	USA	2010s-present	Fuzz/distortion products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Modern boutique candidate.
Function F(x)	Builder	USA	2000s-present	Fuzz/drive products	CENSUS_ONLY	https://mynewmicrophone.com/full-list-guitar-effects-pedal-brands-manufacturers/	Boutique candidate; verify complete dirt catalog.
