canonical_builder	model_name	family	primary_category	era_or_known_corridor	catalog_status	relationship_or_identity_note	source_trail
BOSS	ST-2 Power Stack	ST	Distortion	2010s-present	INDEXED	Compact stack-style distortion; distinct from MT/MD series	BOSS official distortion category
BOSS	ML-2 Metal Core	ML	Distortion	2007-present	INDEXED	High-gain compact distortion; retain as separate family	BOSS official distortion category; BOSS Guide Book Vol.20
BOSS	DA-2 Adaptive Distortion	DA	Distortion	2013-2018	INDEXED	MDP-based digital distortion; modern technology-state distinct from analog DS family	BOSS official search/product material
BOSS	DS-1X Distortion	DS-X	Distortion	2014-2020s	INDEXED	MDP digital X-series model; separate from DS-1 and DS-1W	BOSS official DS/OD X-series material
BOSS	OD-1X OverDrive	OD-X	Overdrive	2014-2020s	INDEXED	MDP digital X-series model; separate from original OD-1 and anniversary OD-1	BOSS official OD-1X page
BOSS	JB-2 Angry Driver	JB	Overdrive/Distortion	2017-present	INDEXED	BOSS/JHS collaboration; preserve JHS relationship rather than treating as ordinary BOSS-only design lineage	BOSS official collaboration/product material
BOSS	DS-1W Distortion	DS-W	Distortion	2022-present	INDEXED	Waza Craft state of DS-1; separate retail/product state from original DS-1	BOSS official distortion category
BOSS	SD-1W SUPER OverDrive	SD-W	Overdrive	2022-present	INDEXED	Waza Craft state of SD-1; separate from original production	BOSS official overdrive category
BOSS	BD-2W Blues Driver	BD-W	Overdrive	2014-present	INDEXED	Waza Craft state of BD-2; separate from original BD-2 production	BOSS official overdrive category
BOSS	MT-2W Metal Zone	MT-W	Distortion	2018-present	INDEXED	Waza Craft state of MT-2; separate from original MT-2 production	BOSS official distortion category
BOSS	HM-2W Heavy Metal	HM-W	Distortion	2021-present	INDEXED	Waza Craft recreation of HM-2; separate edition/reissue state	BOSS official distortion category; BOSS official fuzz-history article
BOSS	FZ-1W Fuzz	FZ-W	Fuzz	2022-present	INDEXED	Modern Waza Craft fuzz; BOSS describes development as influenced by Tone Bender heritage and TB-2W collaboration	BOSS official FZ-1W article; BOSS official product material
BOSS	TB-2W Tone Bender	TB-W	Fuzz	2021 limited	INDEXED	Limited collaboration with Sola Sound; preserve Sola Sound relationship instead of collapsing manufacturer identity	BOSS official FZ-1W/TB-2W history
BOSS	OD-200 Hybrid Drive	200	Overdrive/Distortion	2019-present	INDEXED	200-series multi-drive pedal; keep outside compact historical family counts	BOSS official overdrive category
BOSS	OD-20 Drive Zone	20	Overdrive/Distortion	2000s	INDEXED	Twin Pedal digital modeling unit with multiple drive models; central dirt record but separate form-factor class	BOSS Guide Book Vol.20; BOSS search/product material
BOSS	DS-1-WH Distortion	DS-WH	Distortion	2024 limited	INDEXED	Limited pearlescent-white edition of DS-1; separate edition record, not a new core family	BOSS official DS-1 page
BOSS	FZ-1 Fuzz	FZ-1	Fuzz	1979 large-format	CANDIDATE_REQUIRES_CATALOG_RECHECK	BOSS historical article identifies DB-5 Driver as first large-format fuzz in 1979; retail-model documentation needs direct period catalog verification	BOSS official fuzz-history article
BOSS	DB-5 Driver	DB	Distortion/Fuzz boundary	1979	CANDIDATE_REQUIRES_CATALOG_RECHECK	BOSS identifies as first large-format fuzz effects pedal; verify exact dirt classification and product documentation	BOSS official fuzz-history article
BOSS	FZ-1W / TB-2W historical collaboration lineage	Collaboration	Fuzz	2021-2022	RELATIONSHIP_RECORD	Keep collaboration and revival relationships searchable without converting partners into duplicate BOSS builders	BOSS official fuzz-history article
