record_id	brand	model_name	variant_or_state	period	kind	differences	evidence_status	source_url	note
REC-126	Colorsound	Jumbo Tone Bender	Late production / pre-dormancy state	1975-1980	Model / chronology	Tone Machines dates the Jumbo Tone Bender from around late 1973 through 1980, while other historical sources place the renamed Jumbo phase around late 1975.	RESEARCH	https://www.tonemachinesblog.com/2012/03/colorsound-jumbo-tone-bender-1980.html	Record naming transition separately from circuit lineage; do not collapse Supa and Jumbo into one retail object.
REC-127	DOD	FX55B Supra Distortion	1986 catalog state	1986	Model / chronology	DOD's 1986 catalog explicitly lists the FX55B alongside FX50B as part of the FX-series distortion family.	VERIFIED	https://www.americaspedals.net/cat.html	Catalog presence is stronger than collector dating.
REC-128	DOD	FX10 Bi-Fet Preamp	1984-1988	1984-1988	Model / lineage	DOD's mid-1980s catalog places the FX10 in the early FX-series family; later field guides distinguish the original 1982-88 FX-series visual generation.	RESEARCH	https://www.americaspedals.net/cat.html	Refine exact production years with dated specimens.
REC-129	DOD	FX55 Distortion	1984 catalog state	1984	Model / chronology	The 1984 Effects Specialists catalog lists the FX55 among DOD's early FX-series pedals.	VERIFIED	https://www.americaspedals.net/cat.html	Separate retail model from later FX55B.
REC-130	BOSS	DS-1 Distortion	Japan production era	1978-1989	Production / regional	Historical DS-1 research places Japanese production before the Taiwan transition around 1989-1990.	RESEARCH	https://stompboxelectronics.com/2022/12/09/history-of-the-boss-ds-1/	Country is a specimen-level identification field.
REC-131	BOSS	DS-1 Distortion	Taiwan transition	1989-1990s	Production / regional	Historical DS-1 research documents the move of DS-1 production from Japan to Taiwan around 1989-1990.	RESEARCH	https://stompboxelectronics.com/2022/12/09/history-of-the-boss-ds-1/	Do not infer exact changeover date from country label alone.
REC-132	Ibanez	TS5 Tube Screamer	Soundtank era	1990s	Model / enclosure	TS5 followed the TS10 as a lower-cost Soundtank Tube Screamer in a molded plastic enclosure.	VERIFIED	https://www.effectsdatabase.com/model/ibanez/soundtank/ts5	Use enclosure family as a primary external clue.
REC-133	Ibanez	TS7 Tube Screamer	Tone-Lok era	1999-present	Model / generation	TS7 belongs to the later Tone-Lok generation and adds a selectable Hot mode beyond its TS9-style setting.	VERIFIED	https://www.effectsdatabase.com/model/ibanez/tonelok/ts7	Later production is distinct from 5/10-series construction.
REC-134	ProCo	R2DU Rat Rack Unit	Commercial rack state	1988	Rack / chronology	Specialist ProCo research argues that the best documentary evidence for commercial R2DU release is an 1988 advertisement, despite common 1984-1988 dating.	RESEARCH	https://jhspedals.info/blogs/news/proco-rat-pedal-myths-history-and-timeline	Preserve the 1984-88 claim as a competing hypothesis, not settled fact.
REC-135	ROSS	Distortion	Original Bud Ross / Keas era	Late 1970s-1980s	Model / lineage	Effects Database documents Ross as a Keas Electronics brand in Chanute, Kansas, continuing from late-1970s entry into the 1980s.	RESEARCH	https://www.effectsdatabase.com/model/ross	Country and enclosure state should be tied to specimen evidence.
