builder	region	era	product	category	status	source
Caroline Guitar Company	USA	2010-2026	Hawaiian Pizza	fuzz/overdrive	INDEXED_VARIANTS	https://www.effectsdatabase.com/model/caroline/hawaiianpizza
Caroline Guitar Company	USA	2010-2026	Olympia Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/caroline
Caroline Guitar Company	USA	2010-2026	Shigeharu Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/caroline
Caroline Guitar Company	USA	2010-2026	Shigeharu Mk II	octave fuzz	INDEXED_VARIANT	https://www.effectsdatabase.com/model/caroline/shigeharu/mk2
Caroline Guitar Company	USA	2010-2026	The Blues	overdrive	INDEXED	https://www.effectsdatabase.com/model/caroline/blues
Caroline Guitar Company	USA	2010-2026	Wave Cannon	distortion/overdrive	INDEXED	https://www.effectsdatabase.com/model/caroline/wavecannon
Caroline Guitar Company	USA	2024-2026	Wave Cannon Zero	distortion/overdrive	INDEXED_REVIVAL	https://www.effectsdatabase.com/model/caroline/wavecannon/zero
Caroline Guitar Company	USA	2024-2026	Shigeharu Germanium Octave	germanium octave fuzz	INDEXED_EXCLUSIVE	https://www.effectsdatabase.com/model/caroline/shigeharu/germanium
Mask Audio Electronics	USA	2019-2026	Clubber Lang	percolator fuzz	INDEXED	https://www.effectsdatabase.com/model/mask/clubberlang
Mask Audio Electronics	USA	2019-2026	Screws	octave fuzz	INDEXED	https://www.effectsdatabase.com/model/mask
Mask Audio Electronics	USA	2019-2026	Trust Yourself	fuzz	INDEXED	https://www.effectsdatabase.com/model/mask
Montreal Assembly	Canada	2010s-2026	Positive	overdrive/distortion	INDEXED_LIMITED	https://www.effectsdatabase.com/model/mtlasm/positive
Montreal Assembly	Canada	2025-2026	Too Positive	dual overdrive	INDEXED	https://www.effectsdatabase.com/model/mtlasm/toopositive
Mythos Pedals	USA	2010s-2026	1347 Silicon Fuzz	fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Argo	fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Argo Boost Deluxe	octave fuzz/boost	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	AU-79 Fuzz	fuzz	INDEXED_EXCLUSIVE	https://www.effectsdatabase.com/model/mythos/au79
Mythos Pedals	USA	2010s-2026	Big Puft	fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Chupacabra	overdrive/fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Dædalus	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Erlking	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Golden Fleece	fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Hephaestus	fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Herculean	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos/herculean
Mythos Pedals	USA	2010s-2026	Lark	overdrive/tremolo	INDEXED	https://www.effectsdatabase.com/model/mythos/lark
Mythos Pedals	USA	2010s-2026	Mjolnir	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	NV-9 Envy	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Olympus Overdrive	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Positron Collider Fuzz	fuzz	INDEXED_LIMITED	https://www.effectsdatabase.com/model/mythos/positroncollider
Mythos Pedals	USA	2010s-2026	Positron Fuzz	distortion/fuzz	INDEXED	https://www.effectsdatabase.com/model/mythos
Mythos Pedals	USA	2010s-2026	Runestone Overdrive	overdrive	INDEXED	https://www.effectsdatabase.com/model/mythos
Thorpy FX	United Kingdom	2010s-2026	The Electric Lightning	overdrive/boost	INDEXED_SIGNATURE	https://www.effectsdatabase.com/model/thorpyfx/electriclightning
Dawner Prince	Croatia	2008-2026	Diktator	distortion	INDEXED	https://www.effectsdatabase.com/model/dawnerprince
Dawner Prince	Croatia	2010s-2026	Red Rox	distortion	INDEXED	https://www.effectsdatabase.com/model/dawnerprince/redrox
Mattoverse Electronics	USA	2010s-2026	Drive	overdrive/distortion	INDEXED	https://www.effectsdatabase.com/model/mattoverse/drive
Mattoverse Electronics	USA	2010s-2026	Bad Passenger Fuzz	fuzz	DISCOVERY	https://www.effectsdatabase.com/blog?page=56
Mattoverse Electronics	USA	2010s-2026	Gator Drone Fuzz	fuzz	DISCOVERY	https://www.effectsdatabase.com/blog?page=56
