discovery_date	builder	region	product	category	evidence_state	source
2026-03-01	Electronic Audio Experiments	USA	Greathammer	bass drive	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260202
2026-04-13	VFE Pedals	USA	Killer Rabbit Stereo	stereo fuzz/distortion/overdrive	CURRENT_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260413
2026-04-20	Ohmless Pedals	unknown	AKC-4 Overdrive	multi-stage overdrive	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260420
2026-04-20	Summer School Electronics	unknown	Fuzz 101	fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260420
2026-04-27	drolo	Belgium	Lilac Cloud	fuzzy overdrive	CURRENT_2026	https://www.effectsdatabase.com/updates/weekly/20260427
2026-04-27	Palomar Sound	unknown	Funeral Bell	octave distortion	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260427
2026-04-27	Strymon	USA	Canoga	silicon fuzz	CURRENT_2026	https://www.effectsdatabase.com/updates/weekly/20260427
2026-04-27	SubDecay	USA	Gain Theory	modern overdrive	CURRENT_2026	https://www.effectsdatabase.com/updates/weekly/20260427
2026-04-27	Thermion	unknown	PowerDrive	overdrive	CURRENT_2026	https://www.effectsdatabase.com/updates/weekly/20260427
2026-04-27	Thermion	unknown	PowerMuff	fuzz	CURRENT_2026	https://www.effectsdatabase.com/updates/weekly/20260427
2026-05-04	Buzzing Bugs Audio Devices	unknown	Bolster	dual-channel fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Deep Space Devices	unknown	DDUUSSTT	dual-stage delay/fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Gigagain Audio	unknown	GP02 Blue Giant	low gain overdrive	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Gigagain Audio	unknown	GP03 Gainster	high gain preamp/distortion	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Gigagain Audio	unknown	GP04 Giga Screamer	TS overdrive	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Gigagain Audio	unknown	GP05 Golden Legacy	M-style distortion	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Gigagain Audio	unknown	GP06 Silver Legacy	D-style distortion	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Hamilton Effects	unknown	Core Embers	low gain fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Hamilton Effects	unknown	Embers	fuzz/underdrive	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Iceberg Effects	unknown	Stratum v2	dual overdrive	VARIANT_CURRENT	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Iceberg Effects	unknown	Strijp v2	dual overdrive	VARIANT_CURRENT	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Mile End Effects	Canada	Sofort, Si Fort	dual-channel fuzz	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-04	Supercool Pedals	unknown	Spritz!	compressor/drive	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260504
2026-05-18	Airline Guitars	USA	Dirty Birdy Fuzz	fuzz	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	Case Study	unknown	Aspen One	boost/overdrive	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	CS.Cathey	unknown	AB-03 Distortion Booster	boost/distortion	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	CS.Cathey	unknown	AD-02 Distortion Box	distortion	NEW_BRAND_2026	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	Voltic Electronic Devices	unknown	Awkward Mustache	op-amp fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	Voltic Electronic Devices	unknown	DTF	dual transistor fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	Voltic Electronic Devices	unknown	Mountain Drive	overdrive	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	Voltic Electronic Devices	unknown	Smalls Fuzz	fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260518
2026-05-18	Voltic Electronic Devices	unknown	Stache	op-amp fuzz	NEW_DISCOVERY	https://www.effectsdatabase.com/updates/weekly/20260518
2026-06-01	Barber Electronics	USA	Midnight Standard	overdrive	CURRENT_2026	https://www.effectsdatabase.com/type/overdrive
2026-08-10	Cornerstone	unknown	Centurio	dual overdrive	CURRENT_2026	https://www.effectsdatabase.com/blog
2026-08-10	Greer Amps	USA	Mori Drive	overdrive	CURRENT_2026	https://www.effectsdatabase.com/blog
2026-08-10	Keeley Electronics	USA	Tube Drive	dual overdrive	CURRENT_2026	https://www.effectsdatabase.com/blog
2026-08-10	Warm Audio	USA	Dirty Boy Jr. Fuzz	fuzz	CURRENT_2026	https://www.effectsdatabase.com/blog
2026-08-10	Warm Audio	USA	Dirty Boy Jr. Overdrive	overdrive	CURRENT_2026	https://www.effectsdatabase.com/blog
2026-09-07	Martian Sound	unknown	unknown	unknown	NEW_BRAND_2026	https://www.effectsdatabase.com/blog
