builder	model_or_family	category	era_or_corridor	catalog_status	evidence_level	notes	source_trail
Dreadbox	Disorder V1	FUZZ	2012	ENUMERATED	SECONDARY_INDEX	Athens builder; original three-control fuzz/filter format. Treat V1 separately from later expanded Disorder V2.	https://www.effectsdatabase.com/model/dreadbox/disorder
Dreadbox	Disorder V2	FUZZ_FILTER_HYBRID	2010s	ENUMERATED	SECONDARY_INDEX	Expanded version with resonant filter, envelope/CV features; distinct production state from V1.	https://www.effectsdatabase.com/model/dreadbox/disorder
Dreadbox	Buzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Dreadbox dirt-family product; exact first-sale date requires follow-up.	https://www.effectsdatabase.com/model/dreadbox
Dreadbox	Jellyfish	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Dreadbox dirt-family product; exact first-sale date requires follow-up.	https://www.effectsdatabase.com/model/dreadbox
EC Pedals	Angry Ape	FUZZ_BASS	2010s	ENUMERATED	SECONDARY_INDEX	Eldar Cohen; one of the original late-2010 line's five pedals was a bass fuzz. Later named products retained separately.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Muff's Head	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed EC Pedals fuzz product.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Michael Benson FuzzDriver	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Signature/product relationship, retain separate from generic fuzz entries.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Orphaned Drive	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Orphaned Land signature drive; marked as signature relationship.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Overlord	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Sweet Overdrive; cataloged as distinct retail model.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Overlord Bass Overdrive	OVERDRIVE_BASS	2010s	ENUMERATED	SECONDARY_INDEX	Bass dirt retained as distinct product.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Primestortion	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed EC Pedals distortion.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Rusty Cooley Overdrive	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Signature overdrive relationship.	https://www.effectsdatabase.com/model/ecpedals
EC Pedals	Zombie Distortion	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed EC Pedals distortion.	https://www.effectsdatabase.com/model/ecpedals
Erafuzz	Buzzaround	FUZZ	2010	ENUMERATED	PRIMARY_TIMELINE	First Buzzaround prototypes January 2010; Erafuzz founded March 2010; Buzzaround listed May 2010.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	The Grand Dragon	FUZZ	2010	ENUMERATED	PRIMARY_TIMELINE	July 2010 product after founding.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	The Italian V	FUZZ	2010	ENUMERATED	PRIMARY_TIMELINE	October 2010 product; Tone Bender-family replica, retain replica relationship.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	Civil War	FUZZ	2011	ENUMERATED	PRIMARY_TIMELINE	Silicon Fuzz Machine; April 2011.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	Revolution	FUZZ	2011	ENUMERATED	PRIMARY_TIMELINE	May 2011 product.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	Sacred Resonance	FUZZ_HYBRID	2011	ENUMERATED	PRIMARY_TIMELINE	December 2011 fuzz-fusion product.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	Octavo Stone	FUZZ_OCTAVE	2012	ENUMERATED	PRIMARY_TIMELINE	January 2012 product; octave fuzz family.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	LeBasse	FUZZ_BASS	2010s	ENUMERATED	SECONDARY_INDEX	Bass fuzz machine in indexed Erafuzz catalog.	https://www.effectsdatabase.com/model/erafuzz
Erafuzz	RAM	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed later Erafuzz fuzz model; exact first-sale date requires follow-up.	https://www.effectsdatabase.com/model/erafuzz
Analog Alien	FuzzBubble-45 / FB-45	FUZZ_HYBRID	2009-2010	ENUMERATED	PRIMARY_TIMELINE	Prototype completed December 2009; official internet release September 2010. Dual-effect origin product.	https://www.effectsdatabase.com/model/analogalien ; https://www.effectsdatabase.com/interviews/brands/analogalien
Analog Alien	Alien Twister / SRV-45	OVERDRIVE_FUZZ_HYBRID	2012	ENUMERATED	PRIMARY_TIMELINE	Second pedal officially released April 2012; preserve as separate retail model.	https://www.effectsdatabase.com/model/analogalien ; https://www.effectsdatabase.com/interviews/brands/analogalien
Analog Alien	Tone Dragon	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Later gain model in indexed Analog Alien universe.	https://www.effectsdatabase.com/model/analogalien
Fromel Electronics	D.I.G.	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	John Fromel; first pedal built 2008, retail/manufacturing site expanded in 2010. D.I.G. is indexed as overdrive.	https://www.effectsdatabase.com/model/fromel
Fromel Electronics	Death Is Gain	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Fromel distortion model.	https://www.effectsdatabase.com/model/fromel
Fromel Electronics	Phuz Ge	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed germanium fuzz.	https://www.effectsdatabase.com/model/fromel
Fromel Electronics	Phuz Si	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed silicon fuzz.	https://www.effectsdatabase.com/model/fromel
Fromel Electronics	Velvet Vice	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Indexed Fromel overdrive model.	https://www.effectsdatabase.com/model/fromel
Ben Adrian Audio	Bunny Drive	OVERDRIVE	2008-2011	ENUMERATED	PRIMARY_TIMELINE	Built first pedal under Ben Adrian Audio name in 2008; Bunny Drive and Fuzzy Bunny became production pedals.	https://www.effectsdatabase.com/model/benadrian ; https://www.effectsdatabase.com/model/benadrian/kwb
Ben Adrian Audio	Fuzzy Bunny	FUZZ	2008-2011	ENUMERATED	PRIMARY_TIMELINE	Production fuzz from 2008; commercial production halted after Adrian joined Line 6 in 2011.	https://www.effectsdatabase.com/model/benadrian
Ben Adrian Audio	Kowloon Walled Bunny	DISTORTION	2009-2011	ENUMERATED	PRIMARY_TIMELINE	Developed in 2009; separate distortion product, inspired by a broken MXR Distortion+ and band requirements.	https://www.effectsdatabase.com/model/benadrian/kwb
RogerThat	Distortion DX	DISTORTION	Early 2011	ENUMERATED	PRIMARY_TIMELINE	First pedal line started in early 2011 after repairs/custom work beginning in 2009-2010.	https://www.effectsdatabase.com/model/rogerthat
RogerThat	Distortion	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed standard distortion model, keep separate from Distortion DX.	https://www.effectsdatabase.com/model/rogerthat
RogerThat	Distortion Deluxe	DISTORTION	2010s	ENUMERATED	SECONDARY_INDEX	Indexed higher-feature distortion state.	https://www.effectsdatabase.com/model/rogerthat
RogerThat	Fuzz	FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed RogerThat fuzz.	https://www.effectsdatabase.com/model/rogerthat
RogerThat	Overdrive	OVERDRIVE	2010s	ENUMERATED	SECONDARY_INDEX	Indexed RogerThat overdrive.	https://www.effectsdatabase.com/model/rogerthat
Moody Sounds	Zeygot Fuzz	FUZZ	2009-2011	ENUMERATED	PRIMARY_TIMELINE	Moody Sounds timeline records first Moody Mushroom pedal March 2009 and growing international retail from June 2009; Zeygot Fuzz is part of the indexed nine-product catalog. Exact Zeygot launch date remains unresolved.	https://www.effectsdatabase.com/model/moodysounds
Moody Sounds	Hjärt Müller Bass Drive	OVERDRIVE_BASS	2009-2011	ENUMERATED	SECONDARY_INDEX	Indexed Moody Sounds bass drive, exact first-sale date unresolved.	https://www.effectsdatabase.com/model/moodysounds
JMK Pedals	Custom Drive	OVERDRIVE	2011+	ENUMERATED	PRIMARY_TIMELINE	Jacob Kokura launched pedal line and website in 2011; Custom Drive and Neutron Drive are indexed products.	https://www.effectsdatabase.com/model/jmk
JMK Pedals	Neutron Drive	OVERDRIVE	2011+	ENUMERATED	PRIMARY_TIMELINE	Part of released 2011 pedal line; PCB sales began 2012.	https://www.effectsdatabase.com/model/jmk
JerroStomp	Fuzzy Sunday	FUZZ	2012	ENUMERATED	PRIMARY_TIMELINE	First pedal ready for market June 2012 after kit/breadboard work beginning January 2012.	https://www.effectsdatabase.com/model/jerrostomp
JerroStomp	Hot Fudge Sundae	FUZZ	2013	ENUMERATED	PRIMARY_TIMELINE	Developed from Fuzzy Sunday modifications beginning January 2013.	https://www.effectsdatabase.com/model/jerrostomp
JerroStomp	Fuzzo	FUZZ	2013+	ENUMERATED	SECONDARY_INDEX	Flagship fuzz evolved from Fuzzy Sunday; exact first-sale date requires follow-up.	https://www.effectsdatabase.com/model/jerrostomp
JerroStomp	Salamander	DISTORTION_FUZZ	2010s	ENUMERATED	SECONDARY_INDEX	Indexed hybrid dirt model.	https://www.effectsdatabase.com/model/jerrostomp
Purdy Tube Amps-FX	Fuzz	FUZZ	2012 indexed appearance	ENUMERATED	SECONDARY_INDEX	Edmonton, Canada builder. Effects Database identifies Fuzz as first pedal; indexed catalog also includes Distortion and Overdrive.	https://www.effectsdatabase.com/model/purdy/fuzz ; https://www.effectsdatabase.com/model/purdy
Purdy Tube Amps-FX	Distortion	DISTORTION	2012 indexed appearance	ENUMERATED	SECONDARY_INDEX	Indexed as distinct Purdy dirt model.	https://www.effectsdatabase.com/model/purdy
Purdy Tube Amps-FX	Overdrive	OVERDRIVE	2012 indexed appearance	ENUMERATED	SECONDARY_INDEX	Indexed as distinct Purdy dirt model.	https://www.effectsdatabase.com/model/purdy
